t	y
0	0
0.008	0.0021106
0.019181	0.026798
0.030939	0.1031
0.043639	0.26259
0.057325	0.53287
0.072102	0.93086
0.088199	1.4533
0.10632	2.0686
0.12632	2.6314
0.14632	2.8928
0.16316	2.7648
0.17884	2.3124
0.19434	1.5581
0.21022	0.53235
0.22737	-0.7208
0.24737	-2.0874
0.26589	-2.928
0.2808	-3.0939
0.29451	-2.733
0.30806	-1.8487
0.3216	-0.45838
0.33549	1.4071
0.35032	3.7064
0.36796	6.4695
0.38259	8.3937
0.39721	9.6156
0.41104	9.8433
0.42469	8.9915
0.43824	7.0059
0.45179	3.9277
0.46573	-0.17413
0.48065	-5.2102
0.49869	-11.286
0.51674	-16.083
0.53124	-18.06
0.545	-17.787
0.55861	-15.111
0.57213	-9.9994
0.58577	-2.5651
0.59994	7.0193
0.6155	18.587
0.63286	30.787
0.64868	39.068
0.66276	42.491
0.67648	41.099
0.69007	34.464
0.70357	22.598
0.71725	5.7624
0.73156	-15.652
0.74661	-39.957
0.76148	-62.514
0.77659	-80.157
0.79061	-88.49
0.80433	-86.642
0.81794	-73.516
0.83145	-49.003
0.8451	-13.648
0.8588	29.98
0.87241	77.361
0.88592	123.29
0.89956	162.56
0.91349	188.9
0.92727	195.48
0.94092	178.64
0.95448	136.92
0.96802	71.151
0.98176	-16.257
0.99542	-116.34
1	-151.2
