t	e	y
0	0	0
0.001	0.005	0
0.002	0.0098393	0.00016074
0.003	0.014391	0.00060937
0.004	0.01854	0.0014601
0.005	0.022232	0.002768
0.006	0.025458	0.0045423
0.007	0.028236	0.0067636
0.008	0.030602	0.0093978
0.009	0.032596	0.012404
0.01	0.034259	0.015741
0.011	0.035632	0.019368
0.012	0.036752	0.023248
0.013	0.037655	0.027345
0.014	0.038369	0.031631
0.015	0.038921	0.036079
0.016	0.039336	0.040664
0.017	0.039632	0.045368
0.018	0.039828	0.050172
0.019	0.039938	0.055062
0.02	0.039975	0.060025
0.021	0.039951	0.065049
0.022	0.039875	0.070125
0.023	0.039755	0.075245
0.024	0.039598	0.080402
0.025	0.03941	0.08559
0.026	0.039197	0.090803
0.027	0.038963	0.096037
0.028	0.03871	0.10129
0.029	0.038444	0.10656
0.03	0.038166	0.11183
0.031	0.037878	0.11712
0.032	0.037583	0.12242
0.033	0.037283	0.12772
0.034	0.036978	0.13302
0.035	0.03667	0.13833
0.036	0.036361	0.14364
0.037	0.03605	0.14895
0.038	0.035739	0.15426
0.039	0.035429	0.15957
0.04	0.035119	0.16488
0.041	0.034811	0.17019
0.042	0.034504	0.1755
0.043	0.0342	0.1808
0.044	0.033897	0.1861
0.045	0.033597	0.1914
0.046	0.0333	0.1967
0.047	0.033006	0.20199
0.048	0.032715	0.20729
0.049	0.032426	0.21257
0.05	0.032141	0.21786
0.051	0.031859	0.22314
0.052	0.03158	0.22842
0.053	0.031305	0.2337
0.054	0.031032	0.23897
0.055	0.030763	0.24424
0.056	0.030498	0.2495
0.057	0.030235	0.25476
0.058	0.029976	0.26002
0.059	0.02972	0.26528
0.06	0.029468	0.27053
0.061	0.029218	0.27578
0.062	0.028972	0.28103
0.063	0.028729	0.28627
0.064	0.028489	0.29151
0.065	0.028253	0.29675
0.066	0.028019	0.30198
0.067	0.027788	0.30721
0.068	0.027561	0.31244
0.069	0.027336	0.31766
0.07	0.027114	0.32289
0.071	0.026896	0.3281
0.072	0.02668	0.33332
0.073	0.026467	0.33853
0.074	0.026257	0.34374
0.075	0.02605	0.34895
0.076	0.025845	0.35415
0.077	0.025643	0.35936
0.078	0.025444	0.36456
0.079	0.025248	0.36975
0.08	0.025054	0.37495
0.081	0.024862	0.38014
0.082	0.024674	0.38533
0.083	0.024488	0.39051
0.084	0.024304	0.3957
0.085	0.024123	0.40088
0.086	0.023944	0.40606
0.087	0.023768	0.41123
0.088	0.023594	0.41641
0.089	0.023422	0.42158
0.09	0.023253	0.42675
0.091	0.023086	0.43191
0.092	0.022921	0.43708
0.093	0.022758	0.44224
0.094	0.022598	0.4474
0.095	0.02244	0.45256
0.096	0.022284	0.45772
0.097	0.02213	0.46287
0.098	0.021978	0.46802
0.099	0.021828	0.47317
0.1	0.02168	0.47832
0.101	0.021534	0.48347
0.102	0.021391	0.48861
0.103	0.021249	0.49375
0.104	0.021109	0.49889
0.105	0.020971	0.50403
0.106	0.020835	0.50917
0.107	0.020701	0.5143
0.108	0.020568	0.51943
0.109	0.020438	0.52456
0.11	0.020309	0.52969
0.111	0.020182	0.53482
0.112	0.020056	0.53994
0.113	0.019933	0.54507
0.114	0.019811	0.55019
0.115	0.019691	0.55531
0.116	0.019572	0.56043
0.117	0.019455	0.56554
0.118	0.01934	0.57066
0.119	0.019226	0.57577
0.12	0.019114	0.58089
0.121	0.019003	0.586
0.122	0.018894	0.59111
0.123	0.018787	0.59621
0.124	0.018681	0.60132
0.125	0.018576	0.60642
0.126	0.018473	0.61153
0.127	0.018371	0.61663
0.128	0.018271	0.62173
0.129	0.018172	0.62683
0.13	0.018074	0.63193
0.131	0.017978	0.63702
0.132	0.017883	0.64212
0.133	0.01779	0.64721
