t	y
0	0
0.001	0.015213
0.002	0.055578
0.003	0.12632
0.004	0.21434
0.005	0.30813
0.006	0.40031
0.007	0.48674
0.008	0.56545
0.009	0.63575
0.01	0.69772
0.011	0.75185
0.012	0.7988
0.013	0.83933
0.014	0.87417
0.015	0.90404
0.016	0.92958
0.017	0.95137
0.018	0.96992
0.019	0.98568
0.02	0.99904
0.021	1.0103
0.022	1.0199
0.023	1.0279
0.024	1.0346
0.025	1.0403
0.026	1.0449
0.027	1.0488
0.028	1.052
0.029	1.0546
0.03	1.0566
0.031	1.0583
0.032	1.0596
0.033	1.0606
0.034	1.0613
0.035	1.0618
0.036	1.062
0.037	1.0622
0.038	1.0622
0.039	1.062
0.04	1.0618
0.041	1.0615
0.042	1.0611
0.043	1.0607
0.044	1.0602
0.045	1.0597
0.046	1.0592
0.047	1.0586
0.048	1.058
0.049	1.0574
0.05	1.0567
0.051	1.0561
0.052	1.0554
0.053	1.0548
0.054	1.0541
0.055	1.0535
0.056	1.0528
0.057	1.0522
0.058	1.0515
0.059	1.0508
0.06	1.0502
0.061	1.0496
0.062	1.0489
0.063	1.0483
0.064	1.0477
0.065	1.047
0.066	1.0464
0.067	1.0458
0.068	1.0452
0.069	1.0446
0.07	1.044
0.071	1.0434
0.072	1.0429
0.073	1.0423
0.074	1.0417
0.075	1.0412
0.076	1.0406
0.077	1.0401
0.078	1.0396
0.079	1.039
0.08	1.0385
0.081	1.038
0.082	1.0375
0.083	1.037
0.084	1.0365
0.085	1.036
0.086	1.0355
0.087	1.035
0.088	1.0346
0.089	1.0341
0.09	1.0336
0.091	1.0332
0.092	1.0327
0.093	1.0323
0.094	1.0319
0.095	1.0314
0.096	1.031
0.097	1.0306
0.098	1.0302
0.099	1.0298
0.1	1.0294
0.101	1.029
0.102	1.0286
0.103	1.0282
0.104	1.0278
0.105	1.0274
0.106	1.027
0.107	1.0267
0.108	1.0263
0.109	1.0259
0.11	1.0256
0.111	1.0252
0.112	1.0249
0.113	1.0245
0.114	1.0242
0.115	1.0239
0.116	1.0235
0.117	1.0232
0.118	1.0229
0.119	1.0226
0.12	1.0223
0.121	1.022
0.122	1.0217
0.123	1.0214
0.124	1.0211
0.125	1.0208
0.126	1.0205
0.127	1.0202
0.128	1.0199
0.129	1.0197
0.13	1.0194
0.131	1.0191
0.132	1.0188
0.133	1.0186
0.134	1.0183
0.135	1.0181
0.136	1.0178
0.137	1.0176
0.138	1.0173
0.139	1.0171
0.14	1.0168
0.141	1.0166
0.142	1.0164
0.143	1.0161
0.144	1.0159
0.145	1.0157
0.146	1.0155
0.147	1.0152
0.148	1.015
0.149	1.0148
0.15	1.0146
0.151	1.0144
0.152	1.0142
0.153	1.014
0.154	1.0138
0.155	1.0136
0.156	1.0134
0.157	1.0132
0.158	1.013
0.159	1.0128
0.16	1.0127
0.161	1.0125
0.162	1.0123
0.163	1.0121
0.164	1.0119
0.165	1.0118
0.166	1.0116
0.167	1.0114
0.168	1.0113
0.169	1.0111
0.17	1.0109
0.171	1.0108
0.172	1.0106
0.173	1.0105
0.174	1.0103
0.175	1.0102
0.176	1.01
0.177	1.0099
0.178	1.0097
0.179	1.0096
0.18	1.0094
0.181	1.0093
0.182	1.0092
0.183	1.009
0.184	1.0089
0.185	1.0088
0.186	1.0086
0.187	1.0085
0.188	1.0084
0.189	1.0083
0.19	1.0081
0.191	1.008
0.192	1.0079
0.193	1.0078
0.194	1.0077
0.195	1.0076
0.196	1.0074
0.197	1.0073
0.198	1.0072
0.199	1.0071
0.2	1.007
0.201	1.0069
0.202	1.0068
0.203	1.0067
0.204	1.0066
0.205	1.0065
0.206	1.0064
0.207	1.0063
0.208	1.0062
0.209	1.0061
0.21	1.006
0.211	1.0059
0.212	1.0058
0.213	1.0057
0.214	1.0056
0.215	1.0056
0.216	1.0055
0.217	1.0054
0.218	1.0053
0.219	1.0052
0.22	1.0051
0.221	1.0051
0.222	1.005
0.223	1.0049
0.224	1.0048
0.225	1.0048
0.226	1.0047
0.227	1.0046
0.228	1.0045
0.229	1.0045
0.23	1.0044
0.231	1.0043
0.232	1.0043
0.233	1.0042
0.234	1.0041
0.235	1.0041
0.236	1.004
0.237	1.0039
0.238	1.0039
0.239	1.0038
0.24	1.0037
0.241	1.0037
0.242	1.0036
0.243	1.0036
0.244	1.0035
0.245	1.0034
0.246	1.0034
0.247	1.0033
0.248	1.0033
0.249	1.0032
0.25	1.0032
0.251	1.0031
0.252	1.0031
0.253	1.003
0.254	1.003
0.255	1.0029
0.256	1.0029
0.257	1.0028
0.258	1.0028
0.259	1.0027
0.26	1.0027
0.261	1.0026
0.262	1.0026
0.263	1.0025
0.264	1.0025
0.265	1.0025
0.266	1.0024
0.267	1.0024
0.268	1.0023
0.269	1.0023
0.27	1.0022
0.271	1.0022
0.272	1.0022
0.273	1.0021
0.274	1.0021
0.275	1.0021
0.276	1.002
0.277	1.002
0.278	1.002
0.279	1.0019
0.28	1.0019
0.281	1.0018
0.282	1.0018
0.283	1.0018
0.284	1.0017
0.285	1.0017
0.286	1.0017
0.287	1.0017
0.288	1.0016
0.289	1.0016
0.29	1.0016
0.291	1.0015
0.292	1.0015
0.293	1.0015
0.294	1.0014
0.295	1.0014
0.296	1.0014
0.297	1.0014
0.298	1.0013
0.299	1.0013
0.3	1.0013
