  t                         alpha1                        alpha2                        alpha3                        alpha4                        alpha5
   0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     
  1.00000000000000002E-003  1.84687346406715211E-005  2.58313969464977397E-005  2.27279085396711739E-005  1.88506155029765156E-005  1.57624562506999429E-005
  2.00000000000000004E-003  1.52646186067620907E-004  2.12906737393925771E-004  1.87058570409801353E-004  1.55038435829461091E-004  1.29590667107976374E-004
  3.00000000000000006E-003  4.59582639329353989E-004  6.38861946322968996E-004  5.60237858452695969E-004  4.63911826510440503E-004  3.87580092022767443E-004
  4.00000000000000008E-003  9.51756895267912646E-004  1.31815614541247353E-003  1.15351029277548046E-003  9.54206851839016837E-004  7.96778224845716421E-004
  5.00000000000000010E-003  1.63107212644017269E-003  2.24977480359187486E-003  1.96445109405832046E-003  1.62332467394291904E-003  1.35475931457952029E-003
  6.00000000000000012E-003  2.49654931047643344E-003  3.43003108863246297E-003  2.98835461666281839E-003  2.46677422811208058E-003  2.05751711520169153E-003
  7.00000000000000015E-003  3.54759484646429476E-003  4.85467921916479979E-003  4.22005899013687315E-003  3.47973060008193022E-003  2.90078246648516535E-003
  8.00000000000000017E-003  4.78323160474940830E-003  6.51948746027784364E-003  5.65449864404393970E-003  4.65747583044973795E-003  3.88039014226513506E-003
  9.00000000000000105E-003  6.20253326438704403E-003  8.42023833104407760E-003  7.28666118766302644E-003  5.99542375780830888E-003  4.99232063848640238E-003
  1.00000000000000002E-002  7.80457513588455557E-003  1.05527934984412722E-002  9.11165034130700414E-003  7.48903339678962977E-003  6.23257249574667681E-003
  1.09999999999999994E-002  9.58843747334847674E-003  1.29130859060730217E-002  1.11247372236596073E-002  9.13393148261815169E-003  7.59730634861058990E-003
  1.20000000000000002E-002  1.15532057765007530E-002  1.54971396891045096E-002  1.33213100671491971E-002  1.09258661213485608E-002  9.08280070157201948E-003
  1.30000000000000011E-002  1.36979706450638498E-002  1.83010365219903048E-002  1.56968424540172360E-002  1.28606348894653184E-002  1.06853849276570840E-002
  1.40000000000000003E-002  1.60218276150821785E-002  2.13209217802784977E-002  1.82469198314033701E-002  1.49343020590005753E-002  1.24016295766813407E-002
  1.49999999999999994E-002  1.85238770304490437E-002  2.45530085934214902E-002  2.09672366635570012E-002  1.71429613716734958E-002  1.42281277247204574E-002
  1.60000000000000003E-002  2.12032239457532572E-002  2.79935765928261727E-002  2.38535936876597271E-002  1.94828164727059161E-002  1.61615776454797598E-002
  1.70000000000000012E-002  2.40589780514041778E-002  3.16389707042145293E-002  2.69018952588514042E-002  2.19501777938118474E-002  1.81987818425683769E-002
  1.80000000000000021E-002  2.70902536140504475E-002  3.54855999757351312E-002  3.01081467743674405E-002  2.45414595353487808E-002  2.03366374989372191E-002
  1.89999999999999995E-002  3.02961694275280941E-002  3.95299364361936453E-002  3.34684521698601911E-002  2.72531767404987392E-002  2.25721327268618710E-002
  2.00000000000000004E-002  3.36758487711513593E-002  4.37685139796618605E-002  3.69790114829781358E-002  3.00819424561597076E-002  2.49023457641389945E-002
  2.10000000000000013E-002  3.72284193732019403E-002  4.81979344722961861E-002  4.06361184805289835E-002  3.30244649763775031E-002  2.73244422774046591E-002
  2.19999999999999987E-002  4.09530133781576197E-002  5.28148413660459240E-002  4.44361680927235561E-002  3.60775451648884873E-002  2.98356727473633523E-002
  2.29999999999999996E-002  4.48487671723424020E-002  5.76159485083561559E-002  4.83756194275193133E-002  3.92380741984225817E-002  3.24333702281256880E-002
  2.40000000000000005E-002  4.89148216286982920E-002  6.25980273110646468E-002  5.24510352328501073E-002  4.25030302172113364E-002  3.51149470737249433E-002
  2.50000000000000014E-002  5.31503219659712062E-002  6.77579057338427715E-002  5.66590629272593627E-002  4.58694735628380895E-002  3.78778908501208253E-002
  2.60000000000000023E-002  5.75544177084042902E-002  7.30924672855652879E-002  6.09964325015982037E-002  4.93345512528153354E-002  4.07197677541023609E-002
  2.69999999999999997E-002  6.21262626612917035E-002  7.85986541542777056E-002  6.54599592239549083E-002  5.28954947821489024E-002  4.36382205304458384E-002
  2.80000000000000006E-002  6.68650148872430433E-002  8.42734537690780633E-002  7.00465273188836529E-002  5.65496044723461377E-002  4.66309544211012880E-002
  2.90000000000000015E-002  7.17698366830201301E-002  9.01139101189798175E-002  7.47531018244800560E-002  6.02942603026469931E-002  4.96957466958029559E-002
  2.99999999999999989E-002  7.68398945568416480E-002  9.61171190224404254E-002  7.95767226546732487E-002  6.41269159497583618E-002  5.28304411519173317E-002
  3.09999999999999998E-002  8.20743564818613575E-002  0.10228022722005051       8.45145027540201571E-002  6.80450967165534132E-002  5.60329455339960633E-002
  3.20000000000000007E-002  8.74724007079177440E-002  0.10860043148308343       8.95636262977864694E-002  7.20463975187493055E-002  5.93012306502962092E-002
  3.30000000000000016E-002  9.30332061934004001E-002  0.11507497773760426       9.47213469362036681E-002  7.61284802576090019E-002  6.26333282056922708E-002
  3.40000000000000024E-002  9.87559560192179803E-002  0.12170116020385367       9.99849869197482477E-002  8.02890764325101675E-002  6.60273329001835330E-002
  3.50000000000000033E-002  0.10463983736778859       0.12847632213577223       0.10535193867840081       8.45259801564983010E-002  6.94813931576668820E-002
  3.60000000000000042E-002  0.11068404150226303       0.13539785428946327       0.11081965399922508       8.88370456072888337E-002  7.29937120218111801E-002
  3.69999999999999982E-002  0.11688776374596191       0.14246319065517368       0.11638564752296726       9.32201873079560456E-002  7.65625463082722502E-002
  3.79999999999999991E-002  0.12325020346201288       0.14966981020493828       0.12204749379154531       9.76733784302750568E-002  8.01862049959186918E-002
  3.89999999999999999E-002  0.12977056403318041       0.15701523610442636       0.12780282842352170       0.10219464914570686       8.38630476661392371E-002
