  t                         alpha1                        alpha2                        alpha3                        alpha4                        alpha5
   0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     
  1.00000000000000002E-003 -5.79267181931420093E-005 -3.20926066884555264E-005 -1.74730902537984333E-005 -1.04311422616748395E-005 -6.78080280104058711E-006
  2.00000000000000004E-003 -2.27424329532709466E-004 -1.22330119531673408E-004 -6.45936116920765038E-005 -3.73473763366274699E-005 -2.34752649189120245E-005
  3.00000000000000006E-003 -4.97721974292029447E-004 -2.55548346858812370E-004 -1.28071675628856248E-004 -6.97773895214133673E-005 -4.09424887467474619E-005
  4.00000000000000008E-003 -8.54532864866374342E-004 -4.11651699377078514E-004 -1.90340557924219218E-004 -9.32385887213361167E-005 -4.71273797159845443E-005
  5.00000000000000010E-003 -1.28194979722138580E-003 -5.68450258339782150E-004 -2.32100195041566560E-004 -9.18400020781489203E-005 -2.88161025323577363E-005
  6.00000000000000012E-003 -1.76405725861195030E-003 -7.03813749095870043E-004 -2.34042216073839220E-004 -4.97425110195413384E-005  2.71452768763484460E-005
  7.00000000000000015E-003 -2.28540136653874884E-003 -7.96302202247711017E-004 -1.77763530223952877E-004  4.81091918678133883E-005  1.33228607310232369E-004
  8.00000000000000017E-003 -2.83150789031263094E-003 -8.26231388786339898E-004 -4.63996366226969765E-005  2.15430624330345088E-004  3.00762731485027543E-004
  9.00000000000000105E-003 -3.38923315709159251E-003 -7.75889712250919686E-004  1.75030008159392740E-004  4.64350854300701833E-004  5.39730580776844678E-004
  1.00000000000000002E-002 -3.94670925408577809E-003 -6.29659073147454534E-004  4.99532169634471740E-004  8.05309556338592095E-004  8.58692652766853792E-004
  1.09999999999999994E-002 -4.49346140572430292E-003 -3.74029327745147759E-004  9.38183534939625785E-004  1.24711969403653211E-003  1.26482708290811641E-003
  1.20000000000000002E-002 -5.02030228249336716E-003  2.49553620949537327E-006  1.50021924642422988E-003  1.79701022061666245E-003  1.76397076047622183E-003
  1.30000000000000011E-002 -5.51923873474134859E-003  5.09575259246028357E-004  2.19314051941678096E-003  2.46075783554174869E-003  2.36074364161948996E-003
  1.40000000000000003E-002 -5.98337382524413881E-003  1.15519538195160503E-003  3.02290981973580251E-003  3.24284307837103278E-003  3.05866072076415750E-003
  1.49999999999999994E-002 -6.40678398416628936E-003  1.94577791427538662E-003  3.99409499775845930E-003  4.14656710260647571E-003  3.86026856710912879E-003
  1.60000000000000003E-002 -6.78441091920920641E-003  2.88645825730518427E-003  5.11007399271085332E-003  5.17422590184482122E-003  4.76724151915457715E-003
  1.70000000000000012E-002 -7.11197397460659308E-003  3.98119319240816238E-003  6.37314004850599979E-003  6.32721346739999885E-003  5.78050982266370417E-003
  1.80000000000000021E-002 -7.38583030133958297E-003  5.23293539989098163E-003  7.78466899004053112E-003  7.60616185603845123E-003  6.90036723659319222E-003
