  t                         alpha1                        alpha2                        alpha3                        alpha4                        alpha5
   0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     
  1.00000000000000002E-003  5.66231424686143631E-007  5.26619485093531626E-007  4.92186741557695173E-007  4.61986229223031294E-007  4.35290105746228177E-007
  2.00000000000000004E-003  8.21463962201631474E-006  7.63957638619628314E-006  7.13975372381968879E-006  6.70133627705630471E-006  6.31367023787294001E-006
  3.00000000000000006E-003  3.78357560235737273E-005  3.51900891328954209E-005  3.28902552236716293E-005  3.08726200134375081E-005  2.90882185729709577E-005
  4.00000000000000008E-003  1.09043752217303995E-004  1.01433023252130774E-004  9.48154223864298073E-005  8.90084752098795973E-005  8.38718239497709576E-005
  5.00000000000000010E-003  2.43316459193438874E-004  2.26372322305947414E-004  2.11634713419234889E-004  1.98698931667487029E-004  1.87253577928988646E-004
  6.00000000000000012E-003  4.61961243806393467E-004  4.29880545461391980E-004  4.01966374095688692E-004  3.77456506082834195E-004  3.55763996156722528E-004
  7.00000000000000015E-003  7.85172558055553262E-004  7.30820103777143101E-004  6.83505331141595748E-004  6.41944503791829412E-004  6.05155448187051615E-004
  8.00000000000000017E-003  1.23126168621705973E-003  1.14633381026841880E-003  1.07236543428318324E-003  1.00736383312527130E-003  9.49798203223940242E-004
  9.00000000000000105E-003  1.81627872358298644E-003  1.69148818095795771E-003  1.58274118001884242E-003  1.48713097313438137E-003  1.40241854385212100E-003
  1.00000000000000002E-002  2.55400181242225683E-003  2.37927066306923901E-003  2.22691241715800188E-003  2.09288935971911789E-003  1.97408486658260220E-003
  1.09999999999999994E-002  3.45589054911146082E-003  3.22053822919562754E-003  3.01518883787315652E-003  2.83445044684076282E-003  2.67415380894691279E-003
  1.20000000000000002E-002  4.53122193509424009E-003  4.22415000774627875E-003  3.95603204158861618E-003  3.71990276495541084E-003  3.51037463603788872E-003
  1.30000000000000011E-002  5.78729773627155181E-003  5.39711512433992645E-003  5.05619324597061416E-003  4.75575960698490768E-003  4.48901913608104608E-003
  1.40000000000000003E-002  7.22958842787784807E-003  6.74480108465124861E-003  6.32090894617778117E-003  5.94710575004276688E-003  5.61502778140994269E-003
  1.49999999999999994E-002  8.86199583241941910E-003  8.27110553334720923E-003  7.75402643757757293E-003  7.29773942052928341E-003  6.89213659062397083E-003
  1.60000000000000003E-002  1.06869950688071244E-002  9.97861194919293266E-003  9.35820564948451443E-003  8.81035264891695882E-003  8.32304678084853054E-003
  1.70000000000000012E-002  1.27058476776453939E-002  1.18687803354921035E-002  1.11350482853600219E-002  1.04866472735409329E-002  9.90952944263184636E-003
  1.80000000000000021E-002  1.49187744446487268E-002  1.39421056627805351E-002  1.30852570216510415E-002  1.23274868120359874E-002  1.16525669125444337E-002
  1.89999999999999995E-002  1.73251173560482648E-002  1.61982652070722447E-002  1.52087707758205831E-002  1.43330103033435415E-002  1.35524654247381696E-002
  2.00000000000000004E-002  1.99234762449973513E-002  1.86362438025197211E-002  1.75048802086260023E-002  1.65027567532504693E-002  1.56089596461501702E-002
  2.10000000000000013E-002  2.27118333403832189E-002  2.12544473113491436E-002  1.99723318895206753E-002  1.88357495198962326E-002  1.78213004540529081E-002
  2.19999999999999987E-002  2.56876621334571620E-002  2.40508021090309887E-002  2.26094211249019787E-002  2.13305857546038369E-002  2.01883344551367604E-002
  2.29999999999999996E-002  2.88480247979040864E-002  2.70228444205028902E-002  2.54140696951302390E-002  2.39855071923143828E-002  2.27085677438556982E-002
  2.40000000000000005E-002  3.21896430758880150E-002  3.01677832122523512E-002  2.83838884172342432E-002  2.67984579062442337E-002  2.53802265952710673E-002
  2.50000000000000014E-002  3.57089697947305940E-002  3.34825693417901415E-002  3.15162401920216356E-002  2.97671448380079050E-002  2.82013130312495294E-002
  2.60000000000000023E-002  3.94022794206842428E-002  3.69639733159993072E-002  3.48083083761715553E-002  3.28890980262804555E-002  3.11696380918826156E-002
  2.69999999999999997E-002  4.32656847661013061E-002  4.06086054699207333E-002  3.82571191338134733E-002  3.61616941457311991E-002  3.42828820862910097E-002
  2.80000000000000006E-002  4.72952040384626085E-002  4.44129758625165794E-002  4.18595955843093087E-002  3.95822060057332420E-002  3.75386160635136426E-002
  2.90000000000000015E-002  5.14867860299526858E-002  4.83735159407360713E-002  4.56125761120488096E-002  4.31478177336289750E-002  4.09343200242740859E-002
  2.99999999999999989E-002  5.58363326924545267E-002  5.24866026867112992E-002  4.95128399198638755E-002  4.68556585908092016E-002  4.44674162025900654E-002
  3.09999999999999998E-002  6.03397395671653250E-002  5.67485937785467479E-002  5.35571375778097214E-002  5.07028013733997959E-002  4.81352700574289027E-002
  3.20000000000000007E-002  6.49928909459133036E-002  6.11558261878474979E-002  5.77421926208629005E-002  5.46863086202084014E-002  5.19352295176916598E-002
  3.30000000000000016E-002  6.97917104749165573E-002  6.57046595799660321E-002  6.20647386371233206E-002  5.88032363415897236E-002  5.58646301040461313E-002
  3.40000000000000024E-002  7.47321620877391263E-002  7.03914789989265877E-002  6.65215233541529977E-002  6.30506461419128722E-002  5.99208063915542058E-002
  3.50000000000000033E-002  7.98102677754423256E-002  7.52127112886682991E-002  7.11093238633402486E-002  6.74256193826722888E-002  6.41011052282129262E-002
  3.60000000000000042E-002  8.50220988341590517E-002  8.01648184686083037E-002  7.58249415558243101E-002  7.19252532834296354E-002  6.84028827256072391E-002
  3.69999999999999982E-002  9.03638003925062855E-002  8.52443196893011984E-002  8.06652220068164727E-002  7.65466791022097748E-002  7.28235210055846877E-002
  3.79999999999999991E-002  9.58315924738156605E-002  9.04477929130077518E-002  8.56270570216061122E-002  8.12870643871684839E-002  7.73604305577800799E-002
  3.89999999999999999E-002  0.10142177447598515       9.57718794602915036E-002  9.07073891543083294E-002  8.61436174115330772E-002  8.20110545585390344E-002
  4.00000000000000008E-002  0.10713072848393627       0.10121328748367975       9.59032152360762002E-002  9.11135906900375353E-002  8.67728723345592978E-002
