  t                          alpha1                    alpha2                    alpha3                    alpha4                    alpha5
   0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     
  1.00000000000000002E-003  4.92186741557695173E-007 -8.49039915131093483E-006 -1.74730902537984333E-005 -2.64558796143263535E-005 -3.54392783166965366E-005
  2.00000000000000004E-003  7.13975372381968879E-006 -2.87268756878477103E-005 -6.45936116920765038E-005 -1.00459732247768573E-004 -1.36327595850435640E-004
  3.00000000000000006E-003  3.28902552236716293E-005 -4.75914737229564367E-005 -1.28071675628856248E-004 -2.08551413465520816E-004 -2.89034527580025915E-004
  4.00000000000000008E-003  9.48154223864298073E-005 -4.77672752893840740E-005 -1.90340557924219218E-004 -3.32913961285399157E-004 -4.75490961935424777E-004
  5.00000000000000010E-003  2.11634713419234889E-004 -1.02445359801132606E-005 -2.32100195041566560E-004 -4.53922481059558882E-004 -6.75777902656652350E-004
  6.00000000000000012E-003  4.01966374095688692E-004  8.39530144413187741E-005 -2.34042216073839220E-004 -5.51981911399735520E-004 -8.69963570315292136E-004
  7.00000000000000015E-003  6.83505331141595748E-004  2.52869907543180113E-004 -1.77763530223952877E-004 -6.08318403251919431E-004 -1.03890107545388669E-003
  8.00000000000000017E-003  1.07236543428318324E-003  5.12976773994836162E-004 -4.63996366226969765E-005 -6.05705225585132282E-004 -1.16501828166078441E-003
  9.00000000000000105E-003  1.58274118001884242E-003  8.78882208795574355E-004  1.75030008159392740E-004 -5.28769211158683318E-004 -1.23255916761213732E-003
  1.00000000000000002E-002  2.22691241715800188E-003  1.36321321890233924E-003  4.99532169634471740E-004 -3.64106138998867266E-004 -1.22773847863258357E-003
  1.09999999999999994E-002  3.01518883787315652E-003  1.97667812216003810E-003  9.38183534939625785E-004 -1.00271300560030385E-004 -1.13871190752797198E-003
  1.20000000000000002E-002  3.95603204158861618E-003  2.72811564964400800E-003  1.50021924642422988E-003  2.72351352793515588E-004 -9.55498198169608699E-004
  1.30000000000000011E-002  5.05619324597061416E-003  3.62466063237047937E-003  2.19314051941678096E-003  7.61642605272209398E-004 -6.69832456094001088E-004
  1.40000000000000003E-002  6.32090894617778117E-003  4.67190114786848396E-003  3.02290981973580251E-003  1.37393389434835550E-003 -2.75018898805274106E-004
  1.49999999999999994E-002  7.75402643757757293E-003  5.87405394168694257E-003  3.99409499775845930E-003  2.11416070987065175E-003  2.34237209579988306E-004
  1.60000000000000003E-002  9.35820564948451443E-003  7.23413466346880564E-003  5.11007399271085332E-003  2.98602998760723369E-003  8.62005155289102647E-004
  1.70000000000000012E-002  1.11350482853600219E-002  8.75409010759140363E-003  6.37314004850599979E-003  3.99219891143524647E-003  1.61127084979609887E-003
  1.80000000000000021E-002  1.30852570216510415E-002  1.04349600463835290E-002  7.78466899004053112E-003  5.13438142648023690E-003  2.48410135254405673E-003
  1.89999999999999995E-002  1.52087707758205831E-002  1.22770092593248222E-002  9.34525459392492909E-003  6.41349830215667393E-003  3.48174673429267091E-003
  2.00000000000000004E-002  1.75048802086260023E-002  1.42798492649809979E-002  1.10548254791801651E-002  7.82979947239602174E-003  4.60477464394427275E-003
  2.10000000000000013E-002  1.99723318895206753E-002  1.64425391103517303E-002  1.29127539176375657E-002  9.38296514593975513E-003  5.85317908847834013E-003
  2.19999999999999987E-002  2.26094211249019787E-002  1.87636779001354968E-002  1.49179430503527406E-002  1.10722041013529334E-002  7.22646795185925145E-003
  2.29999999999999996E-002  2.54140696951302390E-002  2.12414867853705815E-002  1.70689096082667219E-002  1.28963290968769576E-002  8.72375106445824264E-003
  2.40000000000000005E-002  2.83838884172342432E-002  2.38738668053233571E-002  1.93638494761382007E-002  1.48538261214049457E-002  1.03438036745500776E-002
  2.50000000000000014E-002  3.15162401920216356E-002  2.66584694245641657E-002  2.18006936618808447E-002  1.69429107084589636E-002  1.20851253236630169E-002
  2.60000000000000023E-002  3.48083083761715553E-002  2.95927375618993856E-002  2.43771679727572375E-002  1.91615807225238750E-002  1.39459905799043018E-002
  2.69999999999999997E-002  3.82571191338134733E-002  3.26739714423994188E-002  2.70908241668183121E-002  2.15076575928084268E-002  1.59244923082556104E-002
  2.80000000000000006E-002  4.18595955843093087E-002  3.58993481292328026E-002  2.99391027186830735E-002  2.39788402835441790E-002  1.80185781667962959E-002
  2.90000000000000015E-002  4.56125761120488096E-002  3.92659629968472659E-002  3.29193519135564452E-002  2.65727233309997063E-002  2.02260980371316915E-002
  2.99999999999999989E-002  4.95128399198638755E-002  4.27708418255189904E-002  3.60288457279763427E-002  2.92868317372599121E-002  2.25448209831643626E-002
  3.09999999999999998E-002  5.35571375778097214E-002  4.64109760817396771E-002  3.92648166375740293E-002  3.21186316511357650E-002  2.49724561380923853E-002
  3.20000000000000007E-002  5.77421926208629005E-002  5.01833221750085517E-002  4.26244538414976282E-002  3.50655598090087658E-002  2.75066753487858973E-002
  3.30000000000000016E-002  6.20647386371233206E-002  5.40848410032645707E-002  4.61049455436739405E-002  3.81250243395994393E-002  3.01451127570539629E-002
