  t                         w                         U                         I                         alpha
  0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     
  1.00000000000000002E-003  1.01431957603881850E-003  0.76758362170171990       0.15908511402555955       4.92186741557695173E-007
  2.00000000000000004E-003  7.19183723549373863E-003   1.4173358434161154       0.54123621134853583       7.13975372381968879E-006
  3.00000000000000006E-003  2.15763967072638702E-002   1.9673389170526401        1.0392193143679471       3.28902552236716293E-005
  4.00000000000000008E-003  4.55934511000020345E-002   2.4329091907739602        1.5816925918287936       9.48154223864298073E-005
  5.00000000000000010E-003  7.96036640421042274E-002   2.8270270475614918        2.1225771405969498       2.11634713419234889E-004
  6.00000000000000012E-003  0.12329629407846829        3.1606269462268233        2.6335431783200494       4.01966374095688692E-004
  7.00000000000000015E-003  0.17595718671693925        3.4430101750471720        3.0982220202648514       6.83505331141595748E-004
  8.00000000000000017E-003  0.23665127468773781        3.6820478027002088        3.5084988848914969       1.07236543428318324E-003
  9.00000000000000105E-003  0.30435148821429786        3.8843814281718934        3.8617091449733039       1.58274118001884242E-003
  1.00000000000000002E-002  0.37801227590116299        4.0556559698792434        4.1586726136712064       2.22691241715800188E-003
  1.09999999999999994E-002  0.45662623665683760        4.2006394195710115        4.4023543792191342       3.01518883787315652E-003
  1.20000000000000002E-002  0.53925316143487845        4.3233657132254528        4.5969221354279064       3.95603204158861618E-003
  1.30000000000000011E-002  0.62503662717724340        4.4272454913067394        4.7471126806210968       5.05619324597061416E-003
  1.40000000000000003E-002  0.71320634190094467        4.5151764040113926        4.8578447091610295       6.32090894617778117E-003
  1.49999999999999994E-002  0.80308389783326106        4.5896032590855835        4.9339218984023985       7.75402643757757293E-003
  1.60000000000000003E-002  0.89407420747238231        4.6526045174301087        4.9799067432301891       9.35820564948451443E-003
  1.70000000000000012E-002  0.98566427872188656        4.7059342948343899        4.9999985775817448       1.11350482853600219E-002
  1.80000000000000021E-002   1.0774142638853541        4.7510785355914091        4.9980065140240066       1.30852570216510415E-002
  1.89999999999999995E-002   1.1689511963448584        4.7892925575076752        4.9773295820256367       1.52087707758205831E-002
  2.00000000000000004E-002   1.2599604722412157        4.8216402466981796        4.9409780846136897       1.75048802086260023E-002
  2.10000000000000013E-002   1.3501792831262394        4.8490221413794323        4.8915922286380971       1.99723318895206753E-002
  2.19999999999999987E-002   1.4393901938097291        4.8722001230848475        4.8314699829440722       2.26094211249019787E-002
  2.29999999999999996E-002   1.5274149970471564        4.8918193037956454        4.7626010770568890       2.54140696951302390E-002
  2.40000000000000005E-002   1.6141091683083792        4.9084267862801996        4.6867021595386751       2.83838884172342432E-002
  2.50000000000000014E-002   1.6993572417049776        4.9224862116094394        4.6052464872527228       3.15162401920216356E-002
  2.60000000000000023E-002   1.7830694027448692        4.9343874893426047        4.5194832541812691       3.48083083761715553E-002
  2.69999999999999997E-002   1.8651766572323227        4.9444620433219431        4.4304788483398374       3.82571191338134733E-002
  2.80000000000000006E-002   1.9456281805831444        4.9529896016827664        4.3391337669938981       4.18595955843093087E-002
  2.90000000000000015E-002   2.0243882144445147        4.9602074895854447        4.2462095308111438       4.56125761120488096E-002
  2.99999999999999989E-002   2.1014337815660586        4.9663169073383688        4.1523471514527071       4.95128399198638755E-002
  3.09999999999999998E-002   2.1767527039967627        4.9714879244460395        4.0580823677612106       5.35571375778097214E-002
  3.20000000000000007E-002   2.2503417748014281        4.9758650762325107        3.9638633606085154       5.77421926208629005E-002
  3.30000000000000016E-002   2.3222053301519030        4.9795702242525675        3.8700601329037179       6.20647386371233206E-002
  3.40000000000000024E-002   2.3923538806350617        4.9827065298734405        3.7769776669003767       6.65215233541529977E-002
  3.50000000000000033E-002   2.4608029845483497        4.9853612086947798        3.6848653260177997       7.11093238633402486E-002
  3.60000000000000042E-002   2.5275723793269536        4.9876083293577036        3.5939262794951978       7.58249415558243101E-002
  3.69999999999999982E-002   2.5926851422927295        4.9895104775092669        3.5043235179770096       8.06652220068164727E-002
  3.79999999999999991E-002   2.6561670265170298        4.9911206246116837        3.4161863830877466       8.56270570216061122E-002
  3.89999999999999999E-002   2.7180458922389574        4.9924836054144492        3.3296158292825955       9.07073891543083294E-002
  4.00000000000000008E-002   2.7783512276850475        4.9936373683003588        3.2446889110349737       9.59032152360762002E-002
  4.10000000000000017E-002   2.8371137460735034        4.9946140334245683        3.1614626038518079       0.10121158906933084     
  4.20000000000000026E-002   2.8943650474495670        4.9954407881988061        3.0799770537845061       0.10662962342133815     
  4.30000000000000035E-002   2.9501372669360562        4.9961405962885372        3.0002582825106812       0.11215449745498518     
  4.39999999999999974E-002   3.0044629655161796        4.9967329543750445        2.9223207109433358       0.11778344588044437     
  4.49999999999999983E-002   3.0573748849199398        4.9972343667940242        2.8461689986778378       0.12351376454482636     
  4.59999999999999992E-002   3.1089057981022470        4.9976588034007463        2.7717997001889785       0.12934280969016185     
  4.70000000000000001E-002   3.1590883277153701        4.9980180849811173        2.6992027449061777       0.13526800121388466     
  4.80000000000000010E-002   3.2079548304135725        4.9983222024277207        2.6283626147931050       0.14128682292923367     
  4.90000000000000019E-002   3.2555374107360908        4.9985796476779694        2.5592593741646881       0.14739681342898034     
  5.00000000000000028E-002   3.3018677265530663        4.9987975837750032        2.4918694932307335       0.15359557553856634     
  5.10000000000000037E-002   3.3469769771401938        4.9989820744819946        2.4261665966934234       0.15988077147833502     
  5.20000000000000046E-002   3.3908958567078646        4.9991382529521324        2.3621220694669356       0.16625012195186908     
  5.29999999999999985E-002   3.4336545181219722        4.9992704645260631        2.2997055656680021       0.17270140515652871     
  5.39999999999999994E-002   3.4752825298955234        4.9993823846392136        2.2388854484982876       0.17923245687972991     
  5.50000000000000003E-002   3.5158089016277421        4.9994771309371986        2.1796291116707933       0.18584116593739097     
  5.60000000000000012E-002   3.5552620246658746        4.9995573393519361        2.1219033100654099       0.19252547644883081     
  5.70000000000000021E-002   3.5936696762733504        4.9996252411214277        2.0656744004702046       0.19928338563449460     
  5.80000000000000029E-002   3.6310590142714254        4.9996827249426792        2.0109085487902485       0.20611294264973046     
  5.90000000000000038E-002   3.6674584484457062        4.9997314048824890        1.9575691977716743       0.21301211570392900     
  5.99999999999999978E-002   3.7028919807326135        4.9997726144422643        1.9056253656458815       0.21997918899072108     
  6.09999999999999987E-002   3.7373849111313047        4.9998075002731630        1.8550435617066490       0.22701236034655581     
  6.19999999999999996E-002   3.7709619279234659        4.9998370329754751        1.8057906276743980       0.23410987486805609     
  6.30000000000000004E-002   3.8036471145004436        4.9998620341374025        1.7578338145960248       0.24127002376172577     
  6.40000000000000013E-002   3.8354639574596479        4.9998831992195107        1.7111408445461964       0.24849114320777380     
  6.50000000000000022E-002   3.8664353557137860        4.9999011169234127        1.6656799595501592       0.25577161324021291     
  6.60000000000000031E-002   3.8965836303974442        4.9999162855850372        1.6214199597754013       0.26310985664494219     
  6.70000000000000040E-002   3.9259305296435110        4.9999291267736599        1.5783302402798471       0.27050433828689047     
  6.80000000000000049E-002   3.9544972475506612        4.9999399975496104        1.5363808025960344       0.27795356347559308     
  6.90000000000000058E-002   3.9823044374813370        4.9999492003655384        1.4955422670658045       0.28545607678679241     
