  t                         w                         U                         I                         alpha
   0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     
  1.00000000000000002E-003  3.90172132625908399E-002   4.0555569019781013        4.4143045755520873       2.27279085396711739E-005
  2.00000000000000004E-003  0.13992404239571057        4.8216049102680074        6.1345265846358563       1.87058570409801353E-004
  3.00000000000000006E-003  0.25553167551377365        4.9663121023389403        6.3651637994837014       5.60237858452695969E-004
  4.00000000000000008E-003  0.37172932629251920        4.9936130486358135        6.2815719683126972       1.15351029277548046E-003
  5.00000000000000010E-003  0.48571744018418939        4.9988081776282813        6.1406701342023302       1.96445109405832046E-003
  6.00000000000000012E-003  0.59701976714346172        4.9997845331563422        5.9918650947207519       2.98835461666281839E-003
  7.00000000000000015E-003  0.70560126061358441        4.9999632844906339        5.8445759363315544       4.22005899013687315E-003
  8.00000000000000017E-003  0.81150922957379856        4.9999937810259700        5.7005188347192828       5.65449864404393970E-003
  9.00000000000000105E-003  0.91480617209994874        4.9999989756208123        5.5599459443254169       7.28666118766302644E-003
  1.00000000000000002E-002   1.0155561315870809        4.9999998417992222        5.4228276262640005       9.11165034130700414E-003
  1.09999999999999994E-002   1.1138214648757958        4.9999999762470146        5.2890888775118610       1.11247372236596073E-002
  1.20000000000000002E-002   1.2096630717658032        4.9999999963627406        5.1586485067823720       1.33213100671491971E-002
  1.30000000000000011E-002   1.3031407403454927        4.9999999994328039        5.0314254093155117       1.56968424540172360E-002
  1.40000000000000003E-002   1.3943127835419626        4.9999999999100408        4.9073402608579659       1.82469198314033701E-002
  1.49999999999999994E-002   1.4832360746076361        4.9999999999855040        4.7863156629232355       2.09672366635570012E-002
  1.60000000000000003E-002   1.5699660830547655        4.9999999999976303        4.6682761224339986       2.38535936876597271E-002
  1.70000000000000012E-002   1.6545569096785813        4.9999999999996074        4.5531480083544285       2.69018952588514042E-002
  1.80000000000000021E-002   1.7370613205754939        4.9999999999999343        4.4408595060512130       3.01081467743674405E-002
  1.89999999999999995E-002   1.8175307802139238        4.9999999999999893        4.3313405723871963       3.34684521698601911E-002
  2.00000000000000004E-002   1.8960154836176495        4.9999999999999982        4.2245228919361972       3.69790114829781358E-002
  2.10000000000000013E-002   1.9725643877094019        4.9999999999999991        4.1203398343270310       4.06361184805289835E-002
  2.19999999999999987E-002   2.0472251131093540        5.0000000000000000        4.0187265878962020       4.44361680927235561E-002
  2.29999999999999996E-002   2.1200444326915111        5.0000000000000000        3.9196194947626917       4.83756194275193133E-002
  2.40000000000000005E-002   2.1910677503133980        5.0000000000000000        3.8229567602769574       5.24510352328501073E-002
  2.50000000000000014E-002   2.2603393513890229        5.0000000000000000        3.7286781119910057       5.66590629272593627E-002
  2.60000000000000023E-002   2.3279024306060747        5.0000000000000000        3.6367247619353864       6.09964325015982037E-002
  2.69999999999999997E-002   2.3937990561955682        5.0000000000000000        3.5470394552481559       6.54599592239549083E-002
  2.80000000000000006E-002   2.4580703855185884        5.0000000000000000        3.4595661767613417       7.00465273188836529E-002
  2.90000000000000015E-002   2.5207565084420551        5.0000000000000000        3.3742503641665174       7.47531018244800560E-002
  2.99999999999999989E-002   2.5818965257719717        5.0000000000000000        3.2910388012671508       7.95767226546732487E-002
  3.09999999999999998E-002   2.6415285736273924        5.0000000000000000        3.2098795848056376       8.45145027540201571E-002
  3.20000000000000007E-002   2.6996898472161708        5.0000000000000000        3.1307220921045076       8.95636262977864694E-002
  3.30000000000000016E-002   2.7564166240271883        5.0000000000000000        3.0535169495017991       9.47213469362036681E-002
  3.40000000000000024E-002   2.8117442753848354        5.0000000000000000        2.9782160166254141       9.99849869197482477E-002
  3.50000000000000033E-002   2.8657072455880424        5.0000000000000000        2.9047724147848943       0.10535193867840081     
