w	A	
0.010000	-50.460290	
0.010233	-50.460290	
0.010471	-50.460290	
0.010715	-50.460290	
0.010965	-50.460290	
0.011220	-50.460290	
0.011482	-50.460290	
0.011749	-50.460290	
0.012023	-50.460290	
0.012303	-50.460290	
0.012589	-50.460290	
0.012882	-50.460290	
0.013183	-50.460290	
0.013490	-50.460290	
0.013804	-50.460290	
0.014125	-50.460290	
0.014454	-50.460290	
0.014791	-50.460290	
0.015136	-50.460290	
0.015488	-50.460290	
0.015849	-50.460290	
0.016218	-50.460290	
0.016596	-50.460290	
0.016982	-50.460290	
0.017378	-50.460290	
0.017783	-50.460290	
0.018197	-50.460290	
0.018621	-50.460290	
0.019055	-50.460290	
0.019498	-50.460290	
0.019953	-50.460290	
0.020417	-50.460290	
0.020893	-50.460290	
0.021380	-50.460290	
0.021878	-50.460290	
0.022387	-50.460290	
0.022909	-50.460290	
0.023442	-50.460290	
0.023988	-50.460290	
0.024547	-50.460290	
0.025119	-50.460290	
0.025704	-50.460290	
0.026303	-50.460290	
0.026915	-50.460290	
0.027542	-50.460290	
0.028184	-50.460290	
0.028840	-50.460290	
0.029512	-50.460290	
0.030200	-50.460290	
0.030903	-50.460290	
0.031623	-50.460290	
0.032359	-50.460290	
0.033113	-50.460290	
0.033884	-50.460290	
0.034674	-50.460290	
0.035481	-50.460290	
0.036308	-50.460290	
0.037154	-50.460290	
0.038019	-50.460290	
0.038905	-50.460290	
0.039811	-50.460290	
0.040738	-50.460290	
0.041687	-50.460290	
0.042658	-50.460290	
0.043652	-50.460290	
0.044668	-50.460290	
0.045709	-50.460290	
0.046774	-50.460290	
0.047863	-50.460290	
0.048978	-50.460290	
0.050119	-50.460290	
0.051286	-50.460290	
0.052481	-50.460290	
0.053703	-50.460290	
0.054954	-50.460290	
0.056234	-50.460290	
0.057544	-50.460290	
0.058884	-50.460290	
0.060256	-50.460290	
0.061660	-50.460290	
0.063096	-50.460290	
0.064565	-50.460290	
0.066069	-50.460290	
0.067608	-50.460290	
0.069183	-50.460290	
0.070795	-50.460290	
0.072444	-50.460290	
0.074131	-50.460290	
0.075858	-50.460290	
0.077625	-50.460290	
0.079433	-50.460290	
0.081283	-50.460290	
0.083176	-50.460290	
0.085114	-50.460290	
0.087096	-50.460290	
0.089125	-50.460290	
0.091201	-50.460290	
0.093325	-50.460290	
0.095499	-50.460290	
0.097724	-50.460290	
0.100000	-50.460290	
0.102329	-50.460290	
0.104713	-50.460290	
0.107152	-50.460290	
0.109648	-50.460290	
0.112202	-50.460290	
0.114815	-50.460290	
0.117490	-50.460290	
0.120226	-50.460290	
0.123027	-50.460290	
0.125893	-50.460290	
0.128825	-50.460290	
0.131826	-50.460290	
0.134896	-50.460290	
0.138038	-50.460290	
0.141254	-50.460290	
0.144544	-50.460290	
0.147911	-50.460290	
0.151356	-50.460290	
0.154882	-50.460290	
0.158489	-50.460290	
0.162181	-50.460290	
0.165959	-50.460290	
0.169824	-50.460290	
0.173780	-50.460290	
0.177828	-50.460290	
0.181970	-50.460290	
0.186209	-50.460290	
0.190546	-50.460290	
0.194984	-50.460290	
0.199526	-50.460290	
0.204174	-50.460290	
0.208930	-50.460290	
0.213796	-50.460290	
0.218776	-50.460290	
0.223872	-50.460290	
0.229087	-50.460290	
0.234423	-50.460290	
0.239883	-50.460290	
0.245471	-50.460290	
0.251189	-50.460290	
0.257040	-50.460290	
0.263027	-50.460290	
0.269153	-50.460290	
0.275423	-50.460290	
0.281838	-50.460290	
0.288403	-50.460290	
0.295121	-50.460290	
0.301995	-50.460290	
0.309030	-50.460290	
0.316228	-50.460290	
0.323594	-50.460290	
0.331131	-50.460290	
0.338844	-50.460290	
0.346737	-50.460290	
0.354813	-50.460290	
0.363078	-50.460290	
0.371535	-50.460290	
0.380189	-50.460290	
0.389045	-50.460290	
0.398107	-50.460290	
0.407380	-50.460290	
0.416869	-50.460290	
0.426580	-50.460290	
0.436516	-50.460290	
0.446684	-50.460290	
0.457088	-50.460290	
0.467735	-50.460290	
0.478630	-50.460290	
0.489779	-50.460290	
0.501187	-50.460290	
0.512861	-50.460290	
0.524807	-50.460290	
0.537032	-50.460290	
0.549541	-50.460290	
0.562341	-50.460290	
0.575440	-50.460290	
0.588844	-50.460290	
0.602560	-50.460290	
0.616595	-50.460290	
0.630957	-50.460290	
0.645654	-50.460290	
0.660693	-50.460290	
0.676083	-50.460290	
0.691831	-50.460290	
0.707946	-50.460290	
0.724436	-50.460290	
0.741310	-50.460290	
0.758578	-50.460290	
0.776247	-50.460290	
0.794328	-50.460290	
0.812831	-50.460290	
0.831764	-50.460290	
0.851138	-50.460290	
0.870964	-50.460290	
0.891251	-50.460290	
0.912011	-50.460290	
0.933254	-50.460290	
0.954993	-50.460290	
0.977237	-50.460290	
1.000000	-50.460290	
1.023293	-50.460290	
1.047129	-50.460290	
1.071519	-50.460290	
1.096478	-50.460290	
1.122018	-50.460290	
1.148154	-50.460290	
1.174898	-50.460290	
1.202264	-50.460290	
1.230269	-50.460290	
1.258925	-50.460290	
1.288250	-50.460290	
1.318257	-50.460290	
1.348963	-50.460290	
1.380384	-50.460290	
1.412538	-50.460290	
1.445440	-50.460290	
1.479108	-50.460290	
1.513561	-50.460290	
1.548817	-50.460290	
1.584893	-50.460290	
1.621810	-50.460290	
1.659587	-50.460290	
1.698244	-50.460290	
1.737801	-50.460290	
1.778279	-50.460290	
1.819701	-50.460290	
1.862087	-50.460290	
1.905461	-50.460290	
1.949845	-50.460290	
1.995262	-50.460290	
2.041738	-50.460290	
2.089296	-50.460290	
2.137962	-50.460290	
2.187762	-50.460290	
2.238721	-50.460290	
2.290868	-50.460290	
2.344229	-50.460290	
2.398833	-50.460290	
2.454709	-50.460290	
2.511886	-50.460290	
2.570396	-50.460289	
2.630268	-50.460289	
2.691535	-50.460289	
2.754229	-50.460289	
2.818383	-50.460289	
2.884032	-50.460289	
2.951209	-50.460289	
3.019952	-50.460289	
3.090295	-50.460289	
3.162278	-50.460289	
3.235937	-50.460289	
3.311311	-50.460289	
3.388442	-50.460289	
3.467369	-50.460289	
3.548134	-50.460289	
3.630781	-50.460289	
3.715352	-50.460289	
3.801894	-50.460289	
3.890451	-50.460289	
3.981072	-50.460289	
4.073803	-50.460289	
4.168694	-50.460289	
4.265795	-50.460289	
4.365158	-50.460289	
4.466836	-50.460289	
4.570882	-50.460289	
4.677351	-50.460289	
4.786301	-50.460289	
4.897788	-50.460289	
5.011872	-50.460289	
5.128614	-50.460289	
5.248075	-50.460289	
5.370318	-50.460289	
5.495409	-50.460289	
5.623413	-50.460289	
5.754399	-50.460289	
5.888437	-50.460289	
6.025596	-50.460289	
6.165950	-50.460289	
6.309573	-50.460289	
6.456542	-50.460289	
6.606934	-50.460289	
6.760830	-50.460288	
6.918310	-50.460288	
7.079458	-50.460288	
7.244360	-50.460288	
7.413102	-50.460288	
7.585776	-50.460288	
7.762471	-50.460288	
7.943282	-50.460288	
8.128305	-50.460288	
8.317638	-50.460288	
8.511380	-50.460288	
8.709636	-50.460288	
8.912509	-50.460288	
9.120108	-50.460288	
9.332543	-50.460287	
9.549926	-50.460287	
9.772372	-50.460287	
10.000000	-50.460287	
10.232930	-50.460287	
10.471285	-50.460287	
10.715193	-50.460287	
10.964782	-50.460287	
11.220185	-50.460286	
11.481536	-50.460286	
11.748976	-50.460286	
12.022644	-50.460286	
12.302688	-50.460286	
12.589254	-50.460286	
12.882496	-50.460285	
13.182567	-50.460285	
13.489629	-50.460285	
13.803843	-50.460285	
14.125375	-50.460284	
14.454398	-50.460284	
14.791084	-50.460284	
15.135612	-50.460284	
15.488166	-50.460283	
15.848932	-50.460283	
16.218101	-50.460283	
16.595869	-50.460282	
16.982437	-50.460282	
17.378008	-50.460282	
17.782794	-50.460281	
18.197009	-50.460281	
18.620871	-50.460281	
19.054607	-50.460280	
19.498446	-50.460280	
19.952623	-50.460279	
20.417379	-50.460279	
20.892961	-50.460278	
21.379621	-50.460278	
21.877616	-50.460277	
22.387211	-50.460277	
22.908677	-50.460276	
23.442288	-50.460275	
23.988329	-50.460275	
24.547089	-50.460274	
25.118864	-50.460273	
25.703958	-50.460272	
26.302680	-50.460272	
26.915348	-50.460271	
27.542287	-50.460270	
28.183829	-50.460269	
28.840315	-50.460268	
29.512092	-50.460267	
30.199517	-50.460266	
30.902954	-50.460265	
31.622777	-50.460264	
32.359366	-50.460262	
33.113112	-50.460261	
33.884416	-50.460260	
34.673685	-50.460258	
35.481339	-50.460257	
36.307805	-50.460255	
37.153523	-50.460254	
38.018940	-50.460252	
38.904514	-50.460250	
39.810717	-50.460248	
40.738028	-50.460246	
41.686938	-50.460244	
42.657952	-50.460242	
43.651583	-50.460240	
44.668359	-50.460238	
45.708819	-50.460235	
46.773514	-50.460233	
47.863009	-50.460230	
48.977882	-50.460227	
50.118723	-50.460224	
51.286138	-50.460221	
52.480746	-50.460218	
53.703180	-50.460215	
54.954087	-50.460211	
56.234133	-50.460207	
57.543994	-50.460203	
58.884366	-50.460199	
60.255959	-50.460195	
61.659500	-50.460191	
63.095734	-50.460186	
64.565423	-50.460181	
66.069345	-50.460176	
67.608298	-50.460171	
69.183097	-50.460165	
70.794578	-50.460159	
72.443596	-50.460153	
74.131024	-50.460146	
75.857758	-50.460140	
77.624712	-50.460133	
79.432823	-50.460125	
81.283052	-50.460117	
83.176377	-50.460109	
85.113804	-50.460101	
87.096359	-50.460092	
89.125094	-50.460083	
91.201084	-50.460073	
93.325430	-50.460063	
95.499259	-50.460052	
97.723722	-50.460041	
100.000000	-50.460029	
102.329299	-50.460017	
104.712855	-50.460004	
107.151931	-50.459990	
109.647820	-50.459976	
112.201845	-50.459962	
114.815362	-50.459946	
117.489755	-50.459930	
120.226443	-50.459913	
123.026877	-50.459895	
125.892541	-50.459877	
128.824955	-50.459857	
131.825674	-50.459837	
134.896288	-50.459815	
138.038426	-50.459793	
141.253754	-50.459770	
144.543977	-50.459745	
147.910839	-50.459719	
151.356125	-50.459693	
154.881662	-50.459664	
158.489319	-50.459635	
162.181010	-50.459604	
165.958691	-50.459572	
169.824365	-50.459538	
173.780083	-50.459503	
177.827941	-50.459465	
181.970086	-50.459427	
186.208714	-50.459386	
190.546072	-50.459343	
194.984460	-50.459299	
199.526231	-50.459252	
204.173794	-50.459203	
208.929613	-50.459152	
213.796209	-50.459098	
218.776162	-50.459042	
223.872114	-50.458983	
229.086765	-50.458921	
234.422882	-50.458857	
239.883292	-50.458789	
245.470892	-50.458719	
251.188643	-50.458645	
257.039578	-50.458567	
263.026799	-50.458486	
269.153480	-50.458401	
275.422870	-50.458312	
281.838293	-50.458218	
288.403150	-50.458121	
295.120923	-50.458018	
301.995172	-50.457911	
309.029543	-50.457799	
316.227766	-50.457681	
323.593657	-50.457558	
331.131121	-50.457429	
338.844156	-50.457295	
346.736850	-50.457153	
354.813389	-50.457005	
363.078055	-50.456850	
371.535229	-50.456688	
380.189396	-50.456518	
389.045145	-50.456340	
398.107171	-50.456153	
407.380278	-50.455958	
416.869383	-50.455754	
426.579519	-50.455540	
436.515832	-50.455315	
446.683592	-50.455080	
457.088190	-50.454834	
467.735141	-50.454577	
478.630092	-50.454307	
489.778819	-50.454024	
501.187234	-50.453728	
512.861384	-50.453418	
524.807460	-50.453094	
537.031796	-50.452753	
549.540874	-50.452397	
562.341325	-50.452024	
575.439937	-50.451633	
588.843655	-50.451224	
602.559586	-50.450795	
616.595002	-50.450346	
630.957344	-50.449876	
645.654229	-50.449383	
660.693448	-50.448867	
676.082975	-50.448326	
691.830971	-50.447760	
707.945784	-50.447166	
724.435960	-50.446545	
741.310241	-50.445893	
758.577575	-50.445211	
776.247117	-50.444496	
794.328235	-50.443748	
812.830516	-50.442963	
831.763771	-50.442141	
851.138038	-50.441280	
870.963590	-50.440377	
891.250938	-50.439431	
912.010839	-50.438441	
933.254301	-50.437402	
954.992586	-50.436314	
977.237221	-50.435174	
1000.000000	-50.433979	
1023.292992	-50.432726	
1047.128548	-50.431413	
1071.519305	-50.430037	
1096.478196	-50.428595	
1122.018454	-50.427083	
1148.153621	-50.425498	
1174.897555	-50.423837	
1202.264435	-50.422095	
1230.268771	-50.420269	
1258.925412	-50.418354	
1288.249552	-50.416346	
1318.256739	-50.414241	
1348.962883	-50.412032	
1380.384265	-50.409717	
1412.537545	-50.407288	
1445.439771	-50.404740	
1479.108388	-50.402067	
1513.561248	-50.399263	
1548.816619	-50.396321	
1584.893192	-50.393234	
1621.810097	-50.389994	
1659.586907	-50.386594	
1698.243652	-50.383026	
1737.800829	-50.379280	
1778.279410	-50.375347	
1819.700859	-50.371218	
1862.087137	-50.366882	
1905.460718	-50.362328	
1949.844600	-50.357545	
1995.262315	-50.352521	
2041.737945	-50.347242	
2089.296131	-50.341695	
2137.962090	-50.335865	
2187.761624	-50.329737	
2238.721139	-50.323294	
2290.867653	-50.316520	
2344.228815	-50.309396	
2398.832919	-50.301902	
2454.708916	-50.294017	
2511.886432	-50.285720	
2570.395783	-50.276988	
2630.267992	-50.267794	
2691.534804	-50.258113	
2754.228703	-50.247916	
2818.382931	-50.237174	
2884.031503	-50.225853	
2951.209227	-50.213921	
3019.951720	-50.201339	
3090.295433	-50.188069	
3162.277660	-50.174070	
3235.936569	-50.159296	
3311.311215	-50.143699	
3388.441561	-50.127229	
3467.368505	-50.109830	
3548.133892	-50.091443	
3630.780548	-50.072005	
3715.352291	-50.051448	
3801.893963	-50.029698	
3890.451450	-50.006677	
3981.071706	-49.982300	
4073.802778	-49.956476	
4168.693835	-49.929106	
4265.795188	-49.900082	
4365.158322	-49.869292	
4466.835922	-49.836609	
4570.881896	-49.801898	
4677.351413	-49.765014	
4786.300923	-49.725798	
4897.788194	-49.684078	
5011.872336	-49.639665	
5128.613840	-49.592355	
5248.074602	-49.541926	
5370.317964	-49.488133	
5495.408739	-49.430711	
5623.413252	-49.369368	
5754.399373	-49.303784	
5888.436554	-49.233608	
6025.595861	-49.158451	
6165.950019	-49.077887	
6309.573445	-48.991443	
6456.542290	-48.898596	
6606.934480	-48.798766	
6760.829754	-48.691303	
6918.309709	-48.575488	
7079.457844	-48.450509	
7244.359601	-48.315460	
7413.102413	-48.169315	
7585.775750	-48.010916	
7762.471166	-47.838947	
7943.282347	-47.651907	
8128.305162	-47.448076	
8317.637711	-47.225472	
8511.380382	-46.981800	
8709.635900	-46.714386	
8912.509381	-46.420097	
9120.108394	-46.095232	
9332.543008	-45.735395	
9549.925860	-45.335320	
9772.372210	-44.888657	
10000.000000	-44.387698	
10232.929923	-43.823045	
10471.285481	-43.183226	
10715.193052	-42.454375	
10964.781961	-41.620235	
11220.184543	-40.663405	
