t	v	
0.000000	0.000000	
0.000010	0.059843	
0.000020	0.228061	
0.000030	0.489017	
0.000040	0.827303	
0.000050	1.228657	
0.000060	1.679251	
0.000070	2.166199	
0.000080	2.676446	
0.000090	3.198213	
0.000100	3.719407	
0.000110	4.230834	
0.000120	4.723094	
0.000130	5.188145	
0.000140	5.617772	
0.000150	6.004939	
0.000160	6.343455	
0.000170	6.628002	
0.000180	6.854155	
0.000190	7.018389	
0.000200	7.118080	
0.000210	7.151520	
0.000220	7.117860	
0.000230	7.017110	
0.000240	6.850119	
0.000250	6.618540	
0.000260	6.324789	
0.000270	5.972012	
0.000280	5.564010	
0.000290	5.105195	
0.000300	4.600532	
0.000310	4.055466	
0.000320	3.475877	
0.000330	2.868005	
0.000340	2.238065	
0.000350	1.593263	
0.000360	0.940399	
0.000370	0.286669	
0.000380	-0.361312	
0.000390	-0.997105	
0.000400	-1.614240	
0.000410	-2.207132	
0.000420	-2.769519	
0.000430	-3.295851	
0.000440	-3.781029	
0.000450	-4.220421	
0.000460	-4.609922	
0.000470	-4.945989	
0.000480	-5.225675	
0.000490	-5.446660	
0.000500	-5.607287	
0.000510	-5.706531	
0.000520	-5.744026	
0.000530	-5.720059	
0.000540	-5.635565	
0.000550	-5.492105	
0.000560	-5.291852	
0.000570	-5.037565	
0.000580	-4.732527	
0.000590	-4.380526	
0.000600	-3.985802	
0.000610	-3.553011	
0.000620	-3.087166	
0.000630	-2.593586	
0.000640	-2.077493	
0.000650	-1.545176	
0.000660	-1.002463	
0.000670	-0.455266	
0.000680	0.089441	
0.000690	0.627283	
0.000700	1.152425	
0.000710	1.659444	
0.000720	2.143811	
0.000730	2.600267	
0.000740	3.024274	
0.000750	3.411687	
0.000760	3.758786	
0.000770	4.062338	
0.000780	4.319582	
0.000790	4.528282	
0.000800	4.686751	
0.000810	4.793862	
0.000820	4.849027	
0.000830	4.852219	
0.000840	4.803959	
0.000850	4.705307	
0.000860	4.557854	
0.000870	4.363700	
0.000880	4.125399	
0.000890	3.845949	
0.000900	3.528753	
0.000910	3.177581	
0.000920	2.796526	
0.000930	2.389952	
0.000940	1.962439	
0.000950	1.518573	
0.000960	1.063665	
0.000970	0.602677	
0.000980	0.140855	
0.000990	-0.317134	
0.001000	-0.766473	
0.001010	-1.202582	
0.001020	-1.621515	
0.001030	-2.018738	
0.001040	-2.390292	
0.001050	-2.732515	
0.001060	-3.042098	
0.001070	-3.316108	
0.001080	-3.552036	
0.001090	-3.747771	
0.001100	-3.901665	
0.001110	-4.012552	
0.001120	-4.079727	
0.001130	-4.102944	
0.001140	-4.082429	
0.001150	-4.018869	
0.001160	-3.913397	
0.001170	-3.767607	
0.001180	-3.583472	
0.001190	-3.363352	
0.001200	-3.109968	
0.001210	-2.826364	
0.001220	-2.515875	
0.001230	-2.182078	
0.001240	-1.828763	
0.001250	-1.459681	
0.001260	-1.079365	
0.001270	-0.691977	
0.001280	-0.301708	
0.001290	0.086503	
0.001300	0.469485	
0.001310	0.843107	
0.001320	1.203514	
0.001330	1.547610	
0.001340	1.871575	
0.001350	2.172206	
0.001360	2.446577	
0.001370	2.692062	
0.001380	2.906368	
0.001390	3.087568	
0.001400	3.234082	
0.001410	3.344723	
0.001420	3.418731	
0.001430	3.455714	
0.001440	3.455677	
0.001450	3.419018	
0.001460	3.346519	
0.001470	3.239354	
0.001480	3.099033	
0.001490	2.927396	
0.001500	2.726599	
0.001510	2.499082	
0.001520	2.247544	
0.001530	1.974910	
0.001540	1.684303	
0.001550	1.378753	
0.001560	1.062132	
0.001570	0.737922	
0.001580	0.409662	
0.001590	0.081351	
0.001600	-0.243989	
0.001610	-0.562913	
0.001620	-0.872186	
0.001630	-1.168637	
0.001640	-1.449881	
0.001650	-1.712716	
0.001660	-1.954550	
0.001670	-2.173052	
0.001680	-2.366161	
0.001690	-2.532117	
0.001700	-2.669436	
0.001710	-2.776966	
0.001720	-2.853892	
0.001730	-2.899748	
0.001740	-2.914380	
0.001750	-2.897969	
0.001760	-2.851024	
0.001770	-2.774388	
0.001780	-2.669198	
0.001790	-2.536873	
0.001800	-2.379105	
0.001810	-2.197840	
0.001820	-1.995249	
0.001830	-1.773714	
0.001840	-1.535790	
0.001850	-1.283900	
0.001860	-1.021358	
0.001870	-0.751064	
0.001880	-0.475975	
0.001890	-0.199092	
0.001900	0.076048	
0.001910	0.347274	
0.001920	0.611651	
0.001930	0.866456	
0.001940	1.109613	
0.001950	1.338362	
0.001960	1.550445	
0.001970	1.743798	
0.001980	1.916574	
0.001990	2.067164	
0.002000	2.194209	
0.002010	2.296613	
0.002020	2.373547	
0.002030	2.424493	
0.002040	2.449197	
0.002050	2.447681	
0.002060	2.420244	
0.002070	2.367468	
0.002080	2.290199	
0.002090	2.189512	
0.002100	2.066725	
0.002110	1.923375	
0.002120	1.761205	
0.002130	1.582137	
0.002140	1.388257	
0.002150	1.181785	
0.002160	0.964852	
