t	x	
0.000000	0.000000	
0.000010	0.002437	
0.000020	0.017949	
0.000030	0.057689	
0.000040	0.130656	
0.000050	0.243612	
0.000060	0.401754	
0.000070	0.607675	
0.000080	0.863023	
0.000090	1.165168	
0.000100	1.512098	
0.000110	1.900215	
0.000120	2.324349	
0.000130	2.778091	
0.000140	3.254239	
0.000150	3.744877	
0.000160	4.241708	
0.000170	4.736165	
0.000180	5.219697	
0.000190	5.683908	
0.000200	6.120853	
0.000210	6.523124	
0.000220	6.884028	
0.000230	7.197867	
0.000240	7.459933	
0.000250	7.666466	
0.000260	7.814453	
0.000270	7.902846	
0.000280	7.932205	
0.000290	7.903357	
0.000300	7.818969	
0.000310	7.681924	
0.000320	7.496516	
0.000330	7.267892	
0.000340	7.002084	
0.000350	6.705699	
0.000360	6.385795	
0.000370	6.049765	
0.000380	5.705199	
0.000390	5.359667	
0.000400	5.020576	
0.000410	4.695036	
0.000420	4.389712	
0.000430	4.110710	
0.000440	3.863346	
0.000450	3.652230	
0.000460	3.481112	
0.000470	3.353288	
0.000480	3.270150	
0.000490	3.233001	
0.000500	3.240756	
0.000510	3.292502	
0.000520	3.385921	
0.000530	3.518645	
0.000540	3.687088	
0.000550	3.886963	
0.000560	4.113458	
0.000570	4.361202	
0.000580	4.624544	
0.000590	4.897619	
0.000600	5.174468	
0.000610	5.449190	
0.000620	5.716036	
0.000630	5.969568	
0.000640	6.204761	
0.000650	6.417066	
0.000660	6.602497	
0.000670	6.757704	
0.000680	6.879624	
0.000690	6.966796	
0.000700	7.018030	
0.000710	7.032426	
0.000720	7.012020	
0.000730	6.957287	
0.000740	6.870479	
0.000750	6.753678	
0.000760	6.609966	
0.000770	6.442938	
0.000780	6.256605	
0.000790	6.055295	
0.000800	5.843570	
0.000810	5.626112	
0.000820	5.407623	
0.000830	5.192729	
0.000840	4.985897	
0.000850	4.791288	
0.000860	4.612740	
0.000870	4.453673	
0.000880	4.317049	
0.000890	4.205280	
0.000900	4.120561	
0.000910	4.063764	
0.000920	4.035370	
0.000930	4.035495	
0.000940	4.063421	
0.000950	4.117919	
0.000960	4.196916	
0.000970	4.298628	
0.000980	4.420443	
0.000990	4.559373	
0.001000	4.712127	
0.001010	4.875198	
0.001020	5.044928	
0.001030	5.217602	
0.001040	5.389518	
0.001050	5.557086	
0.001060	5.716861	
0.001070	5.865641	
0.001080	6.000523	
0.001090	6.118961	
0.001100	6.218792	
0.001110	6.297958	
0.001120	6.355564	
0.001130	6.390814	
0.001140	6.401387	
0.001150	6.391844	
0.001160	6.360838	
0.001170	6.309749	
0.001180	6.239736	
0.001190	6.152664	
0.001200	6.050719	
