t	f	
0.000000	0.000000	
0.000010	1.026928	
0.000020	1.958809	
0.000030	2.786220	
0.000040	3.501253	
0.000050	4.097686	
0.000060	4.570985	
0.000070	4.918496	
0.000080	5.137960	
0.000090	5.232045	
0.000100	5.189920	
0.000110	5.044799	
0.000120	4.789540	
0.000130	4.432908	
0.000140	3.982535	
0.000150	3.448739	
0.000160	2.842938	
0.000170	2.177439	
0.000180	1.465224	
0.000190	0.719695	
0.000200	-0.045487	
0.000210	-0.816659	
0.000220	-1.580351	
0.000230	-2.323493	
0.000240	-3.033669	
0.000250	-3.699169	
0.000260	-4.309256	
0.000270	-4.854295	
0.000280	-5.325878	
0.000290	-5.716949	
0.000300	-6.021807	
0.000310	-6.234903	
0.000320	-6.355159	
0.000330	-6.381294	
0.000340	-6.304455	
0.000350	-6.147232	
0.000360	-5.903017	
0.000370	-5.577797	
0.000380	-5.176178	
0.000390	-4.705283	
0.000400	-4.173272	
0.000410	-3.589178	
0.000420	-2.962765	
0.000430	-2.304308	
0.000440	-1.624467	
0.000450	-0.934085	
0.000460	-0.244012	
0.000470	0.435068	
0.000480	1.092803	
0.000490	1.719342	
0.000500	2.305443	
0.000510	2.842645	
0.000520	3.323387	
0.000530	3.741116	
0.000540	4.090331	
0.000550	4.366693	
0.000560	4.565832	
0.000570	4.687268	
0.000580	4.730256	
0.000590	4.686839	
0.000600	4.577288	
0.000610	4.395957	
0.000620	4.146700	
0.000630	3.835779	
0.000640	3.467906	
0.000650	3.049864	
0.000660	2.589141	
0.000670	2.093769	
0.000680	1.572208	
0.000690	1.033200	
0.000700	0.485639	
0.000710	-0.061611	
0.000720	-0.599835	
0.000730	-1.120591	
0.000740	-1.615882	
0.000750	-2.078224	
0.000760	-2.500771	
0.000770	-2.877416	
0.000780	-3.202868	
0.000790	-3.472739	
0.000800	-3.682342	
0.000810	-3.830546	
0.000820	-3.915922	
0.000830	-3.937808	
0.000840	-3.890490	
0.000850	-3.790494	
0.000860	-3.632178	
0.000870	-3.419425	
0.000880	-3.157499	
0.000890	-2.850152	
0.000900	-2.502932	
0.000910	-2.121946	
0.000920	-1.713748	
0.000930	-1.285213	
0.000940	-0.843457	
0.000950	-0.395687	
0.000960	0.050918	
0.000970	0.489310	
0.000980	0.912668	
0.000990	1.314566	
0.001000	1.688983	
0.001010	2.030429	
0.001020	2.334014	
0.001030	2.595548	
0.001040	2.811544	
0.001050	2.978140	
0.001060	3.094645	
0.001070	3.159971	
0.001080	3.173560	
0.001090	3.129944	
0.001100	3.044532	
0.001110	2.912598	
0.001120	2.736825	
0.001130	2.521640	
0.001140	2.270033	
0.001150	1.986552	
0.001160	1.676183	
0.001170	1.344270	
0.001180	0.996397	
0.001190	0.638356	
0.001200	0.275995	
0.001210	-0.084875	
0.001220	-0.438554	
0.001230	-0.779541	
0.001240	-1.102664	
0.001250	-1.403089	
0.001260	-1.676416	
0.001270	-1.918739	
0.001280	-2.126706	
0.001290	-2.297526	
0.001300	-2.428043	
0.001310	-2.517880	
0.001320	-2.566198	
0.001330	-2.573041	
0.001340	-2.534333	
0.001350	-2.460913	
0.001360	-2.350077	
0.001370	-2.204048	
0.001380	-2.026549	
0.001390	-1.819936	
0.001400	-1.587922	
0.001410	-1.334575	
0.001420	-1.064242	
0.001430	-0.781476	
0.001440	-0.490965	
0.001450	-0.197444	
0.001460	0.094388	
0.001470	0.379934	
0.001480	0.654792	
0.001490	0.914782	
0.001500	1.156023	
0.001510	1.374986	
0.001520	1.568549	
0.001530	1.734038	
0.001540	1.868247	
0.001550	1.970571	
0.001560	2.039893	
0.001570	2.075575	
0.001580	2.077371	
0.001590	2.042881	
0.001600	1.980471	
0.001610	1.888021	
0.001620	1.767375	
0.001630	1.621665	
0.001640	1.452729	
0.001650	1.263594	
0.001660	1.057570	
0.001670	0.838185	
0.001680	0.609128	
0.001690	0.374185	
0.001700	0.137189	
0.001710	-0.098072	
0.001720	-0.327902	
0.001730	-0.548766	
0.001740	-0.757310	
0.001750	-0.950426	
0.001760	-1.125297	
0.001770	-1.279435	
0.001780	-1.410713	
0.001790	-1.516510	
0.001800	-1.596460	
0.001810	-1.649705	
0.001820	-1.675875	
0.001830	-1.670992	
0.001840	-1.640930	
0.001850	-1.588410	
0.001860	-1.511854	
0.001870	-1.412781	
0.001880	-1.293707	
0.001890	-1.156179	
0.001900	-1.002651	
0.001910	-0.835801	
0.001920	-0.658480	
0.001930	-0.473666	
0.001940	-0.284417	
0.001950	-0.093811	
0.001960	0.095110	
0.001970	0.279387	
0.001980	0.456193	
0.001990	0.622848	
0.002000	0.776873	
0.002010	0.916023	
0.002020	1.038323	
0.002030	1.142088	
0.002040	1.225336	
0.002050	1.287720	
0.002060	1.328575	
0.002070	1.347508	
0.002080	1.340935	
0.002090	1.315192	
0.002100	1.271135	
0.002110	1.207914	
0.002120	1.126762	
0.002130	1.029744	
0.002140	0.918100	
0.002150	0.793815	
0.002160	0.659049	
0.002170	0.516102	
0.002180	0.367371	
0.002190	0.215311	
0.002200	0.062390	
0.002210	-0.088956	
0.002220	-0.236355	
0.002230	-0.377552	
0.002240	-0.510412	
0.002250	-0.632962	
0.002260	-0.743423	
0.002270	-0.840228	
0.002280	-0.921483	
0.002290	-0.986719	
0.002300	-1.035165	
0.002310	-1.066304	
0.002320	-1.079804	
0.002330	-1.073266	
0.002340	-1.051211	
0.002350	-1.014454	
0.002360	-0.962468	
0.002370	-0.896250	
0.002380	-0.817067	
0.002390	-0.726818	
0.002400	-0.626611	
0.002410	-0.518183	
0.002420	-0.403386	
0.002430	-0.284137	
0.002440	-0.162405	
0.002450	-0.040155	
0.002460	0.080668	
0.002470	0.198172	
0.002480	0.310554	
0.002490	0.416124	
0.002500	0.513317	
0.002510	0.600724	
0.002520	0.677109	
0.002530	0.740931	
0.002540	0.791883	
0.002550	0.829365	
0.002560	0.852971	
0.002570	0.862408	
0.002580	0.855860	
0.002590	0.837125	
0.002600	0.806651	
0.002610	0.764129	
0.002620	0.710357	
0.002630	0.646356	
0.002640	0.573686	
0.002650	0.493200	
0.002660	0.406291	
0.002670	0.314436	
0.002680	0.219173	
0.002690	0.122065	
0.002700	0.024679	
0.002710	-0.071439	
0.002720	-0.164787	
0.002730	-0.253927	
0.002740	-0.337523	
0.002750	-0.414339	
0.002760	-0.483263	
0.002770	-0.542853	
0.002780	-0.592778	
0.002790	-0.632409	
0.002800	-0.661280	
0.002810	-0.679070	
0.002820	-0.685819	
0.002830	-0.678906	
0.002840	-0.663150	
0.002850	-0.638107	
0.002860	-0.603591	
0.002870	-0.560233	
0.002880	-0.508850	
0.002890	-0.450722	
0.002900	-0.386492	
0.002910	-0.317269	
0.002920	-0.244230	
0.002930	-0.168590	
0.002940	-0.091587	
0.002950	-0.014460	
0.002960	0.061566	
0.002970	0.135304	
0.002980	0.205622	
0.002990	0.271458	
0.003000	0.331842	
0.003010	0.385903	
0.003020	0.432475	
0.003030	0.471347	
0.003040	0.502031	
0.003050	0.524165	
0.003060	0.537492	
0.003070	0.541925	
0.003080	0.534806	
0.003090	0.522074	
0.003100	0.501783	
0.003110	0.474011	
0.003120	0.439338	
0.003130	0.398411	
0.003140	0.351993	
0.003150	0.301184	
0.003160	0.246520	
0.003170	0.188922	
0.003180	0.129347	
0.003190	0.068768	
0.003200	0.008160	
0.003210	-0.051518	
0.003220	-0.109334	
0.003230	-0.164403	
0.003240	-0.215893	
0.003250	-0.263044	
0.003260	-0.304815	
0.003270	-0.340961	
0.003280	-0.371025	
0.003290	-0.394650	
0.003300	-0.411584	
0.003310	-0.421661	
0.003320	-0.424542	
0.003330	-0.418650	
0.003340	-0.408536	
0.003350	-0.392424	
0.003360	-0.370367	
0.003370	-0.342916	
0.003380	-0.310601	
0.003390	-0.274026	
0.003400	-0.233853	
0.003410	-0.190787	
0.003420	-0.145565	
0.003430	-0.098943	
0.003440	-0.051662	
0.003450	-0.004403	
0.003460	0.041966	
0.003470	0.086757	
0.003480	0.129296	
0.003490	0.168957	
0.003500	0.205173	
0.003510	0.237443	
0.003520	0.265335	
0.003530	0.288496	
0.003540	0.306649	
0.003550	0.319594	
0.003560	0.327231	
0.003570	0.329296	
0.003580	0.324554	
0.003590	0.316593	
0.003600	0.303783	
0.003610	0.286519	
0.003620	0.265096	
0.003630	0.239922	
0.003640	0.211463	
0.003650	0.180232	
0.003660	0.146775	
0.003670	0.111665	
0.003680	0.075489	
0.003690	0.038836	
0.003700	0.002295	
0.003710	-0.033560	
0.003720	-0.068179	
0.003730	-0.101041	
0.003740	-0.131662	
0.003750	-0.159604	
0.003760	-0.184480	
0.003770	-0.205956	
0.003780	-0.223759	
0.003790	-0.237674	
0.003800	-0.247628	
0.003810	-0.253255	
0.003820	-0.254386	
