t	u	
0.000000	0.000000	
0.000010	0.206126	
0.000020	0.408001	
0.000030	0.605716	
0.000040	0.799353	
0.000050	0.988996	
0.000060	1.174726	
0.000070	1.356620	
0.000080	1.534665	
0.000090	1.709038	
0.000100	1.879808	
0.000110	2.047096	
0.000120	2.210390	
0.000130	2.370807	
0.000140	2.527942	
0.000150	2.681843	
0.000160	2.832667	
0.000170	2.980389	
0.000180	3.125071	
0.000190	3.266772	
0.000200	3.405553	
0.000210	3.541472	
0.000220	3.674588	
0.000230	3.804959	
0.000240	3.932643	
0.000250	4.057695	
0.000260	4.180172	
0.000270	4.300125	
0.000280	4.417606	
0.000290	4.532663	
0.000300	4.645346	
0.000310	4.755703	
0.000320	4.863712	
0.000330	4.969497	
0.000340	5.073099	
0.000350	5.174554	
0.000360	5.273484	
0.000370	5.370780	
0.000380	5.466105	
0.000390	5.559475	
0.000400	5.650923	
0.000410	5.740551	
0.000420	5.828336	
0.000430	5.914314	
0.000440	5.998521	
0.000450	6.080992	
0.000460	6.161763	
0.000470	6.240867	
0.000480	6.318341	
0.000490	6.394218	
0.000500	6.468532	
0.000510	6.541315	
0.000520	6.612599	
0.000530	6.682413	
0.000540	6.750787	
0.000550	6.817750	
0.000560	6.883330	
0.000570	6.947511	
0.000580	7.010369	
0.000590	7.071931	
0.000600	7.132223	
0.000610	7.191116	
0.000620	7.248825	
0.000630	7.305470	
0.000640	7.360956	
0.000650	7.415301	
0.000660	7.468562	
0.000670	7.520729	
0.000680	7.571822	
0.000690	7.621863	
0.000700	7.670872	
0.000710	7.718871	
0.000720	7.765880	
0.000730	7.811919	
0.000740	7.857010	
0.000750	7.901172	
0.000760	7.944425	
0.000770	7.986786	
0.000780	8.028274	
0.000790	8.068907	
0.000800	8.108700	
0.000810	8.147645	
0.000820	8.185787	
0.000830	8.223144	
0.000840	8.259730	
0.000850	8.295554	
0.000860	8.330516	
0.000870	8.364869	
0.000880	8.398531	
0.000890	8.431504	
0.000900	8.463799	
0.000910	8.495452	
0.000920	8.526454	
0.000930	8.556818	
0.000940	8.586557	
0.000950	8.615683	
0.000960	8.644209	
0.000970	8.672146	
0.000980	8.699508	
0.000990	8.726306	
0.001000	8.752551	
0.001010	8.778256	
0.001020	8.803432	
0.001030	8.828088	
0.001040	8.852236	
0.001050	8.875885	
0.001060	8.899028	
0.001070	8.921696	
0.001080	8.943896	
0.001090	8.965637	
0.001100	8.986925	
0.001110	9.007706	
0.001120	9.028091	
0.001130	9.048095	
0.001140	9.067690	
0.001150	9.086882	
0.001160	9.105679	
0.001170	9.124105	
0.001180	9.142151	
0.001190	9.159827	
0.001200	9.177138	
0.001210	9.194092	
0.001220	9.210697	
0.001230	9.226960	
0.001240	9.242888	
0.001250	9.258487	
0.001260	9.273765	
0.001270	9.288729	
0.001280	9.303383	
0.001290	9.317736	
0.001300	9.331791	
0.001310	9.345546	
0.001320	9.359017	
0.001330	9.372211	
0.001340	9.385131	
0.001350	9.397787	
0.001360	9.410114	
0.001370	9.422244	
0.001380	9.434132	
0.001390	9.445778	
0.001400	9.457184	
0.001410	9.468356	
0.001420	9.479308	
0.001430	9.490035	
0.001440	9.500541	
0.001450	9.510830	
0.001460	9.520908	
0.001470	9.530779	
0.001480	9.540446	
0.001490	9.549913	
0.001500	9.559186	
0.001510	9.568267	
0.001520	9.577161	
0.001530	9.585872	
0.001540	9.594403	
0.001550	9.602749	
0.001560	9.610924	
0.001570	9.618931	
0.001580	9.626773	
0.001590	9.634452	
0.001600	9.641972	
0.001610	9.649297	
0.001620	9.656504	
0.001630	9.663569	
0.001640	9.670491	
0.001650	9.677270	
0.001660	9.683910	
0.001670	9.690420	
0.001680	9.696797	
0.001690	9.703042	
0.001700	9.709159	
0.001710	9.715150	
0.001720	9.721018	
0.001730	9.726765	
0.001740	9.732393	
0.001750	9.737906	
0.001760	9.743304	
0.001770	9.748592	
0.001780	9.753770	
0.001790	9.758841	
0.001800	9.763802	
0.001810	9.768661	
0.001820	9.773420	
0.001830	9.778081	
0.001840	9.782645	
0.001850	9.787112	
0.001860	9.791456	
0.001870	9.795741	
0.001880	9.799943	
0.001890	9.804057	
0.001900	9.808087	
0.001910	9.812034	
0.001920	9.815904	
0.001930	9.819695	
0.001940	9.823409	
0.001950	9.827046	
0.001960	9.830608	
0.001970	9.834097	
0.001980	9.837514	
0.001990	9.840860	
0.002000	9.844138	
0.002010	9.847348	
0.002020	9.850491	
0.002030	9.853570	
0.002040	9.856581	
0.002050	9.859531	
0.002060	9.862419	
0.002070	9.865249	
0.002080	9.868020	
0.002090	9.870736	
0.002100	9.873391	
0.002110	9.875985	
0.002120	9.878533	
0.002130	9.881032	
0.002140	9.883479	
0.002150	9.885875	
0.002160	9.888222	
0.002170	9.890521	
0.002180	9.892772	
0.002190	9.894977	
0.002200	9.897137	
0.002210	9.899255	
0.002220	9.901330	
0.002230	9.903361	
0.002240	9.905349	
0.002250	9.907295	
0.002260	9.909202	
0.002270	9.911069	
0.002280	9.912898	
0.002290	9.914689	
0.002300	9.916443	
0.002310	9.918162	
0.002320	9.919845	
0.002330	9.921493	
0.002340	9.923107	
0.002350	9.924683	
0.002360	9.926221	
0.002370	9.927736	
0.002380	9.929221	
0.002390	9.930677	
0.002400	9.932103	
0.002410	9.933499	
0.002420	9.934866	
0.002430	9.936206	
0.002440	9.937518	
0.002450	9.938803	
0.002460	9.940061	
0.002470	9.941294	
0.002480	9.942501	
0.002490	9.943684	
0.002500	9.944842	
0.002510	9.945976	
0.002520	9.947087	
0.002530	9.948175	
0.002540	9.949241	
0.002550	9.950285	
0.002560	9.951307	
0.002570	9.952309	
0.002580	9.953290	
0.002590	9.954249	
0.002600	9.955187	
0.002610	9.956102	
0.002620	9.957002	
0.002630	9.957885	
0.002640	9.958751	
0.002650	9.959600	
0.002660	9.960430	
0.002670	9.961244	
0.002680	9.962041	
0.002690	9.962822	
0.002700	9.963586	
0.002710	9.964335	
0.002720	9.965069	
0.002730	9.965787	
0.002740	9.966491	
0.002750	9.967180	
0.002760	9.967855	
0.002770	9.968516	
0.002780	9.969163	
0.002790	9.969797	
0.002800	9.970419	
0.002810	9.971027	
0.002820	9.971623	
0.002830	9.972206	
0.002840	9.972777	
0.002850	9.973335	
0.002860	9.973879	
0.002870	9.974414	
0.002880	9.974940	
0.002890	9.975455	
0.002900	9.975960	
0.002910	9.976454	
0.002920	9.976939	
0.002930	9.977413	
0.002940	9.977877	
0.002950	9.978332	
0.002960	9.978778	
0.002970	9.979214	
0.002980	9.979642	
0.002990	9.980060	
0.003000	9.980471	
0.003010	9.980872	
0.003020	9.981266	
0.003030	9.981651	
0.003040	9.982028	
0.003050	9.982398	
0.003060	9.982760	
0.003070	9.983114	
0.003080	9.983461	
0.003090	9.983801	
0.003100	9.984132	
0.003110	9.984456	
0.003120	9.984774	
0.003130	9.985087	
0.003140	9.985393	
0.003150	9.985693	
0.003160	9.985988	
0.003170	9.986276	
0.003180	9.986558	
0.003190	9.986835	
0.003200	9.987105	
0.003210	9.987371	
0.003220	9.987630	
0.003230	9.987885	
0.003240	9.988134	
0.003250	9.988378	
0.003260	9.988617	
0.003270	9.988851	
0.003280	9.989080	
0.003290	9.989305	
0.003300	9.989525	
0.003310	9.989740	
0.003320	9.989951	
0.003330	9.990157	
0.003340	9.990359	
0.003350	9.990556	
0.003360	9.990749	
0.003370	9.990938	
0.003380	9.991124	
0.003390	9.991307	
0.003400	9.991485	
0.003410	9.991660	
0.003420	9.991832	
0.003430	9.991999	
0.003440	9.992164	
0.003450	9.992325	
0.003460	9.992483	
0.003470	9.992638	
0.003480	9.992789	
0.003490	9.992937	
0.003500	9.993083	
0.003510	9.993225	
0.003520	9.993364	
0.003530	9.993501	
0.003540	9.993634	
0.003550	9.993765	
0.003560	9.993893	
0.003570	9.994019	
0.003580	9.994141	
0.003590	9.994261	
0.003600	9.994379	
0.003610	9.994493	
0.003620	9.994606	
0.003630	9.994716	
