w	A	lgA	phi
0.01	200.02	46.022	-90.86
0.011547	173.23	44.773	-90.993
0.013465	148.56	43.438	-91.158
0.015702	127.41	42.104	-91.35
0.01831	109.27	40.77	-91.575
0.021351	93.72	39.437	-91.837
0.024898	80.385	38.103	-92.143
0.029033	68.952	36.771	-92.5
0.033856	59.15	35.439	-92.917
0.03948	50.748	34.108	-93.405
0.046037	43.546	32.779	-93.975
0.053684	37.375	31.452	-94.644
0.062602	32.087	30.127	-95.428
0.073	27.559	28.805	-96.349
0.085126	23.683	27.489	-97.435
0.099266	20.365	26.178	-98.721
0.1	20.219	26.115	-98.788
0.11575	17.529	24.875	-100.25
0.13498	15.105	23.583	-102.08
0.1574	13.036	22.303	-104.28
0.18355	11.269	21.038	-106.97
0.21404	9.7592	19.788	-110.29
0.24959	8.4637	18.551	-114.43
0.29105	7.3395	17.313	-119.69
0.33939	6.3392	16.041	-126.41
0.39577	5.4075	14.66	-135
0.46151	4.4874	13.04	-145.64
0.53816	3.5494	11.003	-157.99
0.62756	2.6339	8.4119	-170.81
0.7318	1.8369	5.2817	-182.41
0.85335	1.2265	1.7734	-191.66
0.9951	0.80152	-1.9217	-198.26
1	0.79057	-2.0412	-198.43
1.1604	0.52106	-5.6622	-202.51
1.3531	0.34024	-9.3644	-204.86
1.5779	0.2243	-12.984	-205.72
1.6389	0.20273	-13.862	-205.76
1.84	0.14967	-16.498	-205.49
2.1456	0.10118	-19.898	-204.47
2.502	0.069309	-23.184	-202.92
2.9176	0.048069	-26.363	-201.05
3.4023	0.033715	-29.444	-199.04
3.9674	0.02388	-32.439	-197.01
4.6264	0.017053	-35.364	-195.05
5.3949	0.012261	-38.23	-193.22
6.291	0.0088625	-41.049	-191.54
7.336	0.0064331	-43.832	-190.03
8.5545	0.0046849	-46.586	-188.68
9.9755	0.0034202	-49.319	-187.5
10	0.0034031	-49.362	-187.48
11.632	0.0025016	-52.036	-186.47
13.565	0.0018323	-54.74	-185.57
15.818	0.0013435	-57.436	-184.79
18.445	0.0009858	-60.124	-184.12
21.509	0.00072378	-62.808	-183.54
25.082	0.00053163	-65.488	-183.04
29.248	0.00039062	-68.165	-182.61
34.106	0.00028707	-70.84	-182.24
39.772	0.00021101	-73.514	-181.92
46.378	0.00015513	-76.186	-181.65
54.082	0.00011405	-78.858	-181.41
63.065	8.3856e-05	-81.529	-181.21
73.54	6.1659e-05	-84.2	-181.04
85.756	4.534e-05	-86.87	-180.89
100	3.334e-05	-89.541	-180.76
