t	delta
0	0
0.2517	0.096867
0.50341	0.21533
0.75511	0.34918
1.0068	0.49263
1.2585	0.64039
1.5102	0.78765
1.7619	0.93016
2.0136	1.0642
2.2653	1.1867
2.517	1.2949
2.7687	1.3869
3.0204	1.4612
3.2722	1.5167
3.5239	1.5529
3.7756	1.5698
4.0273	1.5676
4.279	1.5471
4.5307	1.5093
4.7824	1.4554
5.0341	1.387
5.2858	1.3057
5.5375	1.2135
5.7892	1.1121
6.0409	1.0036
6.2926	0.88988
6.5443	0.77299
6.796	0.65478
7.0477	0.53704
7.2994	0.42147
7.5511	0.3096
7.8028	0.20282
8.0545	0.10236
8.3062	0.0092666
8.5579	-0.075609
8.8096	-0.15159
9.0613	-0.21818
9.313	-0.27508
9.5647	-0.32216
9.8165	-0.35943
10.068	-0.38709
10.32	-0.40546
10.572	-0.41497
10.823	-0.41619
11.075	-0.40975
11.327	-0.39639
11.578	-0.37687
11.83	-0.35202
12.082	-0.32268
12.333	-0.28972
12.585	-0.25396
12.837	-0.21625
13.089	-0.17739
13.34	-0.13813
13.592	-0.099185
13.844	-0.061196
14.095	-0.024747
14.347	0.0096473
14.599	0.041548
14.851	0.070589
15.102	0.096483
15.354	0.11902
15.606	0.13804
15.857	0.1535
16.109	0.16537
16.361	0.17371
16.612	0.17863
16.864	0.1803
17.116	0.17891
17.368	0.17471
17.619	0.16797
17.871	0.15897
18.123	0.14803
18.374	0.13546
18.626	0.1216
18.878	0.10676
19.129	0.091251
19.381	0.075388
19.633	0.059454
19.885	0.043717
20.136	0.028422
20.388	0.013789
20.64	1.3471e-05
20.891	-0.012741
21.143	-0.024337
21.395	-0.034669
21.647	-0.043656
21.898	-0.05125
22.15	-0.057425
22.402	-0.062184
22.653	-0.065552
22.905	-0.067574
23.157	-0.068316
23.408	-0.06786
23.66	-0.0663
23.912	-0.063745
24.164	-0.060309
24.415	-0.056115
24.667	-0.051287
24.919	-0.045954
25.17	-0.040241
25.422	-0.034271
25.674	-0.028162
25.926	-0.022027
26.177	-0.01597
26.429	-0.010087
26.681	-0.0044621
26.932	0.00082864
27.184	0.0057216
27.436	0.010164
27.687	0.014115
27.939	0.017544
28.191	0.020433
28.443	0.022771
28.694	0.024561
28.946	0.025812
29.198	0.026544
29.449	0.02678
29.701	0.026554
29.953	0.025904
30.204	0.024869
30.456	0.023497
30.708	0.021834
30.96	0.019929
31.211	0.017832
31.463	0.015591
31.715	0.013254
31.966	0.010867
32.218	0.008473
32.47	0.0061131
32.722	0.0038236
32.973	0.0016376
33.225	-0.00041606
33.477	-0.0023129
33.728	-0.0040328
33.98	-0.0055601
34.232	-0.0068832
34.483	-0.0079952
34.735	-0.0088929
34.987	-0.0095769
35.239	-0.010052
35.49	-0.010324
35.742	-0.010405
35.994	-0.010306
36.245	-0.010043
36.497	-0.0096323
36.749	-0.0090907
37	-0.0084373
37.252	-0.0076909
37.504	-0.0068708
