Re1         Im1 Re2         Im2     Re3         Im3
0           0   -0.33333    0.4714  -0.33333    -0.4714
-0.10703    0   -0.27982    0.45891 -0.27982    -0.45891
-0.12827    0   -0.2692     0.45817 -0.2692     -0.45817
-0.15395    0   -0.25636    0.45814 -0.25636    -0.45814
-0.18465    0   -0.24101    0.45945 -0.24101    -0.45945
-0.22049    0   -0.22309    0.46293 -0.22309    -0.46293
-0.26073    0   -0.20297    0.46947 -0.20297    -0.46947
-0.30374    0   -0.18146    0.47971 -0.18146    -0.47971
-0.34765    0   -0.15951    0.49374 -0.15951    -0.49374
-0.39105    0   -0.13781    0.51126 -0.13781    -0.51126
-0.43328    0   -0.11669    0.5318  -0.11669    -0.5318
-0.47419    0   -0.096239   0.555   -0.096239   -0.555
-0.51391    0   -0.076378   0.58062 -0.076378   -0.58062
-0.55268    0   -0.056994   0.60854 -0.056994   -0.60854
-0.59074    0   -0.037963   0.63872 -0.037963   -0.63872
-0.62833    0   -0.019169   0.67122 -0.019169   -0.67122
-0.66564    0   -0.00051261 0.70611 -0.00051261 -0.70611
-0.70284    0   0.018089    0.74352 0.018089    -0.74352
-0.74008    0   0.036706    0.7836  0.036706    -0.7836
-0.77745    0   0.055393    0.82653 0.055393    -0.82653
-0.81506    0   0.074197    0.8725  0.074197    -0.8725
-0.85297    0   0.093151    0.92174 0.093151    -0.92174
-0.89123    0   0.11228     0.9745  0.11228     -0.9745
-0.92987    0   0.1316      1.031   0.1316      -1.031
-0.96891    0   0.15112     1.0917  0.15112     -1.0917
-1.0084     0   0.17084     1.1567  0.17084     -1.1567
-1.0482     0   0.19076     1.2265  0.19076     -1.2265
-1.0884     0   0.21085     1.3014  0.21085     -1.3014
-1.1289     0   0.23109     1.3819  0.23109     -1.3819
-1.1696     0   0.25146     1.4684  0.25146     -1.4684
-1.2105     0   0.27192     1.5615  0.27192     -1.5615
-1.2515     0   0.29242     1.6616  0.29242     -1.6616
-1.2925     0   0.3129      1.7694  0.3129      -1.7694
-1.3333     0   0.33332     1.8855  0.33332     -1.8855
-1.3739     0   0.35359     2.0107  0.35359     -2.0107
-1.414      0   0.37366     2.1458  0.37366     -2.1458
-1.4535     0   0.39344     2.2916  0.39344     -2.2916
-1.4924     0   0.41285     2.449   0.41285     -2.449
-1.5303     0   0.43181     2.6192  0.43181     -2.6192
-1.5671     0   0.45024     2.8031  0.45024     -2.8031
-1.6028     0   0.46805     3.0022  0.46805     -3.0022
-1.637      0   0.48517     3.2176  0.48517     -3.2176
-1.6697     0   0.50153     3.451   0.50153     -3.451
-1.7008     0   0.51707     3.7038  0.51707     -3.7038
-1.7301     0   0.53173     3.9777  0.53173     -3.9777
-1.7576     0   0.54547     4.2747  0.54547     -4.2747
-1.7832     0   0.55827     4.5968  0.55827     -4.5968
-1.8069     0   0.57011     4.9461  0.57011     -4.9461
-1.8287     0   0.58099     5.3249  0.58099     -5.3249
-1.8485     0   0.59093     5.7359  0.59093     -5.7359
-1.8666     0   0.59996     6.1817  0.59996     -6.1817
-1.9996     0   
-2          0
